ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z
9,0,0,M,1,9.816666667,8,15,7,46.66666667,Experimental,9.09,3.25,1,1,-3.743527966,-0.71168715,-0.42478144,-1.3802259,0.80570507,0.6614064,-0.60920572,0.95833331,0.88095242,9.816666667,-0.880732637,-0.542656462,-1.860352261,-7.530732425,-0.730183815,0.229047612,1.497234517,0.613707196,0.597837298,0.039609495,0.170526464,-0.014490158,0.456367394,0.853321013,-0.725472297,0.360386969,-0.218581108,1.610272632,0.25369303
9,1,0,M,1,10.02222222,8,15,7,46.66666667,Experimental,10,3.25,1,1,-3.743527966,-0.5889169,0.2606473,-0.2161573,-0.084715009,0.15479638,0.14387465,0.92261904,0.73809528,10.02222222,-0.660193456,-0.659590397,-1.382537312,-7.412059686,-0.289943012,0.229047612,1.497234517,-0.407191603,-0.911676293,0.039609495,0.170526464,2.128090123,-1.2986283,-1.006364611,1.020127762,0.360386969,0.386032133,1.139637394,0.25369303
9,2,1,M,1,11.58611111,8,15,7,46.66666667,Experimental,11.07,3.25,1,1,-3.743527966,-1.0604396,-0.67380941,-0.89137459,0.35371682,-0.48081911,-0.78486562,0.92261904,0.95833331,11.58611111,-1.736121663,-0.425547808,-0.287349517,-0.593611182,-1.030747267,0.229047612,1.497234517,0.171986657,0.133288774,0.039609495,0.170526464,0.390884451,-0.057758274,0.348378516,-0.207957396,0.360386969,-1.12550097,-3.190206794,0.25369303
10,0,0,M,1,11.10555556,4,8,4,50,Experimental,11.01,3.75,1,1,-4.815838193,0.29389977,0.22703417,0.073642731,0.85172439,0.34930506,0.64225525,0.85119045,0.32142857,11.10555556,-0.738916915,-0.551336713,-1.098147181,-7.486083776,-0.517368143,1.046975943,0.539113614,0.771130365,1.292494219,0.039609495,0.170526464,0.247663266,0.448453521,1.59985552,-1.496840451,0.360386969,0.184494386,0.574875109,-0.770139556
10,1,0,M,1,NA,4,8,4,50,Experimental,NA,3.75,1,1,-4.815838193,0.49684092,-1.2823398,-2.2507153,0.40196082,-0.34519735,-1.346681,0.91666669,0.083333336,7.652777778,-0.973867577,-0.88382657,-2.571542956,-6.731614581,1.188525149,1.046975943,-0.898067741,0.978807039,1.803419223,-1.654988026,1.869103792,-1.311170398,1.311244687,-0.46599999,-1.305989258,0.360386969,0.990645374,1.233764442,-0.770139556
10,2,1,M,1,NA,4,8,4,50,Experimental,NA,3.75,0,1,-4.815838193,-0.07448148,0.4522762,1.6709303,-0.019507945,-0.6566174,-1.346681,0.80952382,0.83333331,12.06666667,-0.958783011,0.221716,0.830870203,-0.749017118,-3.257696097,1.046975943,0.379426796,0.625717989,1.764751099,0.039609495,0.170526464,0.384752672,0.283581153,-0.462778586,-1.286688182,0.360386969,-0.117812235,-2.437190414,0.25369303
12,0,0,M,1,12.48,6,10,3,30,Experimental,13.03,3,1,1,10.63622881,0.32210073,0.3623994,1.3094311,0.19585165,0.51336491,0.066480368,0.95833331,0.79761904,12.48,-0.424177817,-0.741461041,-1.566739158,-6.968905715,0.074413562,-0.179916553,1.497234517,0.96750511,0.185680293,0.886908255,-0.6787622,0.614609344,0.419812835,0.642163146,-0.335536584,0.360386969,0.58756988,-0.272268319,0.25369303
12,1,0,M,1,12.69,6,10,3,30,Experimental,13.06,3,1,1,10.63622881,-0.40285641,1.1022116,0.34572926,0.24506783,0.61026931,-0.30921784,0.95833331,0.92261904,12.69,-0.424940885,-0.705781318,-1.815638743,-6.55424991,0.026792489,-0.179916553,1.3375477,-0.74309384,-1.01845272,-0.807689266,1.019815128,2.288886718,-1.620270736,-2.402999322,1.51331748,0.360386969,0.184494386,-0.742903557,1.277525616
12,2,1,M,1,14.04,6,10,3,30,Experimental,14.01,3,1,1,10.63622881,-0.35200346,-0.91454816,-1.2724575,0.69336456,-0.32322037,-0.93650651,0.88690472,0.85119045,14.04,-1.142643528,-0.300633553,-0.244650608,0.338704838,-2.386423151,-0.179916553,1.497234517,1.016925435,1.646393103,0.886908255,-1.528050864,0.836907202,0.351519037,1.672027295,-1.799763857,-1.140240739,-0.520887729,-3.190206794,1.277525616
13,0,0,M,2,10.19166667,7,21,2,9.523809524,Control,10.02,3.25,0,2,-5.47400772,-1.0140537,-0.51090282,0.87327045,0.12410142,0.10964916,1.0120076,0.95833331,0.35714287,10.19166667,-1.07874966,-1.013780353,-1.882970349,-7.747548862,-0.407076588,0.229047612,0.219739979,0.984996573,0.959961921,0.039609495,0.170526464,0.604989035,0.437147987,1.616482123,-1.23688331,0.360386969,0.688338753,0.104239871,0.25369303
13,1,0,M,2,10.37777778,7,21,2,9.523809524,Control,10.04,3.25,1,2,-5.47400772,-0.38558805,0.44697499,-0.13757174,-0.53079891,1.0868933,-0.009911709,0.88690472,0.17857143,10.37777778,-1.117706604,-0.925392046,-1.953878319,-7.386215695,-0.630071852,0.229047612,0.060053162,-1.267617252,-1.328104356,-1.654988026,0.170526464,3.186324129,-2.426355294,-1.791971636,1.581343648,-2.640868448,0.285263259,1.516145585,-0.770139556
13,2,1,M,2,11.72222222,7,21,2,9.523809524,Control,11.08,3.25,0,2,-5.47400772,0.073663987,0.23219173,0.34318522,-0.14691956,-0.6566174,-1.346681,0.92261904,0.79761904,11.72222222,-1.505004744,0.221716,0.03321558,-0.189448415,-3.119899921,0.229047612,1.497234517,0.761093185,-1.220751675,0.039609495,-0.6787622,-0.213882605,0.658059651,-0.633374468,1.157259879,-1.140240739,-1.931651958,-2.531317461,0.25369303
14,0,0,F,1,7.988888889,7,21,4,17.39130435,Experimental,7.11,3.25,1,1,-4.855376307,-0.028030243,-0.011605799,-1.3438791,-0.5213111,0.17258576,0.92571211,0.81547618,0.33333334,7.988888889,-0.837968765,-1.418346585,-2.352517462,-7.312108658,0.062989966,0.229047612,-0.259320472,-1.771672713,-0.753647183,0.039609495,0.170526464,2.373408006,-2.43163121,0.12175045,0.5694544,0.360386969,0.486801006,0.386621014,0.25369303
