ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,ID,Session,Online,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z,I,S,M
29,0,0,M,1,8.416666667,7,19,10,52.63157895,Experimental,8.05,3.416666667,29,0,0,0,1,-1.551396059,-0.41731995,0.054621615,0.52797663,-0.099248827,0.27086166,-0.42597222,0.88095242,0.75,8.416666667,-1.830018181,-0.247529497,-2.352517462,-6.665400592,-1.235219012,0.50169039,1.235660976,0.269969683,1.458150179,-0.823198043,1.032675248,1.103520073,-0.700886653,1.260677138,-1.201649856,0.378752905,-2.439497786,0.016904205,0.678986892,0.199875382,0.023170416,0.021944134
30,0,0,F,1,10.67777778,7,22,1,4.545454545,Experimental,10.08,3.75,30,0,0,0,1,-3.738674676,-0.42555434,0.32269248,0.45528322,0.14597481,0.27624309,-0.27484879,0.95833331,0.64285713,10.67777778,-0.278010453,-0.722220428,-2.065849588,-7.043159916,0.181352375,1.046975943,-0.621851077,-0.561644562,1.315900904,0.073173159,0.15726019,-0.240570036,-0.37725291,1.727641527,-1.444418957,0.378752905,-0.038192799,0.480312573,0.678986892,0.191019577,-0.005300494,0.014976201
31,0,0,F,1,10.67777778,7,23,1,4.347826087,Experimental,10.08,3.75,31,0,0,1,1,-8.089684289,-0.077723809,0.11463913,-0.44220099,0.25190541,-0.32322037,0.084230661,0.88690472,0.48809525,10.67777778,-0.421119711,-1.02558066,-2.382781635,-7.272591275,0.516854128,1.046975943,-0.452986345,-0.268739065,0.357153547,1.865915564,-1.593569925,0.0981123,-0.253500182,-1.108243626,0.012195646,0.378752905,-0.73857342,-0.261140816,1.779413924,-0.054574868,0.041261334,0.010941531
32,0,0,M,2,6.372222222,8,32,6,18.75,Control,6.04,3.75,32,0,0,0,2,-2.644401409,-0.029181253,0.92178661,-0.70781165,0.033717871,1.2899458,1.2473009,0.92261904,0.6785714,6.372222222,-1.608670952,-1.927122517,-2.970363182,-7.588520564,0.904573699,1.046975943,-1.128445273,-2.017487185,0.995042674,-1.719569245,1.908090305,1.103520073,-2.028705621,1.733324664,-1.201649856,0.378752905,-0.338355922,-0.35382249,-1.521867172,-0.063699302,0.001898684,-0.001919074
33,0,0,F,2,6.375,8,26,6,22.22222222,Control,6.04,3.5,33,0,0,1,2,-5.914525327,0.53952718,0.36432049,0.10998944,1.0944651,-0.73977631,1.1124599,0.92261904,0.25,6.375,-1.579013069,-1.794375093,-2.838083817,-7.146728434,0.453455447,0.638011778,-1.128445273,-2.017487185,-1.237569269,0.969544361,-0.718154868,1.103520073,-2.028705621,-1.108243626,1.226041149,0.378752905,0.462079073,1.685174331,-1.521867172,-0.179509488,-0.119527238,-0.045491644
34,0,0,F,1,7.344444444,7,23,9,39.13043478,Experimental,7.04,3.25,34,0,0,0,1,-5.586923874,0.58527106,0.64989424,-0.68963826,0.10586758,1.0868933,-0.77486706,0.92261904,0.59523809,7.344444444,-1.138687338,-1.431745624,-2.308169471,-6.713765917,0.388327298,0.229047612,0.729066779,0.022373826,2.58976549,-0.823198043,1.032675248,-0.226384389,0.095804728,1.733324664,-2.415495359,0.378752905,0.662187822,0.480312573,-0.42144014,0.077112823,-0.000622363,0.003661561
35,0,0,F,1,6.391666667,4,5,1,20,Experimental,6.04,2.75,35,0,0,1,1,-49.27718173,-0.035885543,0.14504749,0.2945188,-0.19363195,-0.12413921,1.2434549,0.88690472,0.26190478,6.391666667,-1.366771695,-1.893133478,-3.146821128,-6.823989965,1.442301922,-0.588880719,-1.128445273,-2.017487185,-1.237569269,-1.719569245,1.908090305,1.103520073,-2.028705621,-1.108243626,1.226041149,0.378752905,-0.938682169,0.480312573,-0.42144014,-0.242206167,0.003677854,-0.021577871
36,0,0,F,2,6.630555556,6,16,7,43.75,Control,6.07,1.75,36,0,0,1,2,-11.85479806,-0.72116613,0.50963116,-0.83642328,0.084474027,0.056352124,-0.4190881,0.66666669,0.21428572,6.630555556,-1.312647821,-1.673163603,-2.352517462,-7.220414477,0.738559877,-2.224737381,-1.128445273,-1.991648945,0.785177151,-0.823198043,1.032675248,1.086674617,-2.001795156,1.466217245,-0.973446902,0.378752905,-0.938682169,-0.35382249,-1.521867172,-0.439290002,-0.053583944,-0.046924462
37,0,0,F,1,6.280555556,3,6,0,0,Experimental,6.03,3.75,37,0,0,1,1,2.523729267,-0.98054594,-1.3238525,-1.6011019,0.97785902,0.073117942,0.38240784,0.91666669,0.041666668,6.280555556,-1.479405154,-2.000494959,-3.53982825,-7.37560381,1.62383545,1.046975943,0.222472583,-0.997803935,-0.543200376,-1.719569245,1.032675248,1.103520073,-2.028705621,-0.830717123,0.020692565,-1.330753449,-0.338355922,-0.168459143,-0.42144014,-0.571022032,-0.081640059,-0.057259472
38,0,0,F,2,8.502777778,8,16,7,41.17647059,Control,8.06,2.75,38,0,0,1,2,-12.09961233,-0.99070603,-0.35299098,-0.1262642,-0.14239597,0.072721206,-0.54645234,0.88095242,0.4642857,8.502777778,-0.645880855,-0.651953093,-1.733070473,-7.381294318,-0.281796303,-0.588880719,1.911119904,0.336357887,2.207669903,0.073173159,0.15726019,-1.003048596,0.618611316,2.124513898,-2.224921615,0.378752905,0.462079073,1.221765962,-1.521867172,-0.245157129,9.21E-05,-0.01889246
39,0,0,F,2,10.54444444,4,4,0,0,Control,10.06,2.5,39,0,0,0,2,-67.07229196,0.51061034,-0.7268554,-2.1798537,-1.0011568,0.55388772,0.2076982,0.95833331,0.27380949,10.54444444,-0.677017799,-0.5982869,-1.283984742,-7.843107623,-0.384138371,-0.997844884,-0.621851077,-0.03876019,-0.71481913,0.073173159,0.15726019,-0.87626437,0.268244151,-0.562662514,0.688307591,0.378752905,-1.038736543,-0.724549185,-0.42144014,-0.371459332,0.003272852,-0.022598352
40,0,0,M,1,9.616666667,6,12,9,69.23076923,Experimental,9.07,3.25,40,0,0,1,1,-7.56726116,-0.055272982,-0.059046611,-0.14164178,-0.29403341,0.12224594,0.64543414,0.88095242,0.6785714,9.616666667,-0.797882501,-0.868180337,-2.029463172,-7.228348134,-0.186144549,0.229047612,0.897931512,0.911969576,2.154087216,0.073173159,0.15726019,-0.505221025,0.919229531,2.151035202,-2.190933941,0.378752905,0.462079073,0.66567592,-1.521867172,-0.049673675,-0.018800527,-0.006701732
41,0,0,F,1,6.191666667,7,10,3,30,Experimental,6.02,3.25,41,0,0,1,1,-12.63661247,-0.43850714,-0.15507679,0.10998944,-0.6395551,-0.51225978,-0.27274421,0.63095242,0.083333336,6.191666667,-1.443029074,-1.975132061,-3.153633056,-7.46492363,1.605797396,0.229047612,1.911119904,-0.387514609,-0.252349513,-0.823198043,0.15726019,0.47669177,-0.480291661,-1.088352648,0.471029246,-1.330753449,0.261970325,1.963219352,-0.42144014,-0.474535566,-0.072293052,-0.06186787
42,0,0,F,2,10.92222222,4,6,2,33.33333333,Control,10.11,3,42,0,0,1,2,-42.4189876,-0.064949483,-0.46070957,0.98231059,-1.1017029,0.17715196,-0.50354654,0.95833331,0.54761904,10.92222222,-0.902800142,-0.621113978,-1.860352261,-7.564814612,-0.675007696,-0.179916553,-0.284121613,0.223763741,0.901591917,0.073173159,0.15726019,-2.000920244,0.86806424,0.935791164,-0.926106927,0.378752905,0.16191595,-0.817230858,-0.42144014,0.1242072,0.022741402,0.008617411
43,0,0,F,2,7.9,6,6,0,0,Control,7.1,3.75,43,0,0,0,2,-78.31253629,-0.079613939,-0.53725803,-0.52607805,-0.24210583,-0.45595863,-0.34010395,0.92261904,0.54761904,7.9,-1.255473577,-1.32677181,-2.289094503,-6.961463303,-0.123944359,1.046975943,-1.128445273,-2.017487185,-1.237569269,0.073173159,0.15726019,1.103520073,-2.028705621,-1.108243626,1.226041149,0.378752905,0.061861576,0.294949226,-0.42144014,-0.106421194,-0.010429658,-0.006045505
44,0,0,M,2,9.494444444,5,5,0,0,Control,9.05,3.75,44,0,0,0,2,-64.60448758,0.32601681,1.2578511,-1.3438791,-0.49332526,-0.34826851,0.27630803,0.85119045,0.38095236,9.494444444,-0.752751674,-0.831355121,-2.056300849,-6.386483123,-0.178589502,1.046975943,-0.790715809,0.799159081,0.801124379,0.969544361,0.15726019,0.181896281,0.591700852,1.101549314,-0.892119253,2.088259259,-0.938682169,-1.466002574,-0.42144014,-0.180999321,-0.008249626,-0.017947839
45,0,0,F,2,7.033333333,8,11,3,27.27272727,Control,7,3.5,45,0,0,1,2,7.216829838,-0.048378523,-0.28151238,1.1276975,-1.3106481,0.65594721,-0.64239627,0.95833331,0.5,7.033333333,-1.001305673,-1.556097411,-2.637341573,-7.432976783,0.996903053,0.638011778,1.911119904,0.870276053,0.617093366,-0.823198043,1.032675248,0.508609478,0.538056966,1.018196644,-0.730677801,0.378752905,1.362568443,1.129084289,-0.42144014,0.089218709,0.043238965,0.009056571
46,0,0,F,2,8.811111111,7,22,7,30.43478261,Control,8.09,3.75,46,0,0,0,2,-1.775282573,0.53315222,-0.2758123,0.40076315,0.034590207,0.71212262,0.37023714,0.95833331,0.41666666,8.811111111,-1.105698235,-0.56588183,-1.681758574,-6.354267734,-1.0922496,1.046975943,-1.128445273,-2.017487185,-1.237569269,-0.823198043,1.032675248,1.103520073,-2.028705621,-1.108243626,1.226041149,0.378752905,-1.038736543,0.016904205,-0.42144014,0.096319468,-0.04524947,-0.009902577
47,0,0,F,1,9.558333333,8,27,14,45.16129032,Experimental,9.06,2.5,47,0,0,0,1,-2.023230921,-0.73172206,0.036229298,0.5824967,1.1422472,-0.053350206,-0.13826428,0.95833331,0.76190472,9.558333333,-1.049071843,-1.412936292,-2.787785169,-7.653327466,0.509177715,-0.997844884,1.235660976,0.609915611,0.133573408,0.969544361,-0.718154868,-0.151023137,0.550804028,0.166673347,-0.144390424,0.378752905,1.06240532,0.851039268,0.678986892,0.187727477,0.033913721,0.02690112
