ID,Session,DG_Coins_Given,DG_RT,UG_Offer_Accept,UG_Coins_Given,UG_Decision_RT,UG_RT,DG_UG_Diff,DG_UG_RT_Diff,tot_delay_perc,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT_3SD,AvgdelayRT_3SD,AvgimmRT_3SD,imm_del_RT_3SD_Diff,hi_lo_conf_RT_Diff,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Age_Frac,Group_Name,Train_Coef,Age_YM
12,2,3,3.135045,1,NA,1.277175,NA,NA,NA,100,100,100,0,0.712692778,0.712692778,NA,NA,-0.018034444,0,4.953703704,1,1.432407407,-7.476851852,0.947816806,Trevor Roberts School,M,1,14.04,Experimental,10.63622881,14.01
13,0,2,2.941,0,3,6.573,2.756,1,-0.185,55.55555556,55.55555556,55.55555556,0,2315.888889,3194.6,1217.5,1977.1,1172.222222,-0.192857143,5.256666667,0.591675955,1.399,-5.16,0.897660681,Trevor Roberts School,M,2,10.19166667,Control,-5.47400772,10.02
13,1,0,3.057833333,1,1,7.056,2.522857143,1,-0.53497619,50,55.55555556,44.44444444,-11.11111111,1613.588235,1678.625,1555.777778,122.8472222,747.6666667,1.953714286,-4.874666667,0.834581258,-0.651,6.44,0.846696035,Trevor Roberts School,M,2,10.37777778,Control,-5.47400772,10.04
13,2,2,4.504175,0,NA,0.96733,NA,NA,NA,100,100,100,0,1.208582778,1.208582778,NA,NA,0.24302,-0.873809596,6.038272094,0.974645429,0.045833333,4.694444444,0.6,Trevor Roberts School,M,2,11.72222222,Control,-5.47400772,11.08
14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,7.988888889,Experimental,-4.855376307,7.11
14,1,3,4.112166667,1,3,10.561,3.590571429,0,-0.521595238,100,100,100,0,2115.294118,2115.294118,NA,NA,1357.666667,0.955142857,-0.624666667,0.511901058,0.1225,1.33,0.194598888,Trevor Roberts School,F,1,8.241666667,Experimental,-4.855376307,8.02
14,2,1,5.22279,0,NA,7.03973,NA,NA,NA,94.44444444,100,88.88888889,-11.11111111,3.289933056,3.364516471,2.022015,1.342501471,0.156938333,-0.239153399,5.281481481,0.912071556,1.510648155,-10,0.617029214,Trevor Roberts School,F,1,9.694444444,Experimental,-4.855376307,9.08
15,0,3,1.519833333,0,3,13.025,2.998285714,0,1.478452381,72.22222222,88.88888889,55.55555556,-33.33333333,2189.5,2325.230769,1836.6,488.6307692,-874.7777778,-0.736,5.446,0.984043017,1.1665,-3.515,0.907406021,Trevor Roberts School,M,1,10.6,Experimental,4.668904041,10.07
15,1,2,2.094333333,0,3,5.454,2.034428571,1,-0.059904762,100,100,100,0,1244.333333,1244.333333,NA,NA,-120.6666667,2.348,-7.228,0.872302921,-0.057,4.44,0.282398957,Trevor Roberts School,M,1,10.85277778,Experimental,4.668904041,10.01
15,2,3,4.03516,0,NA,2.43436,NA,NA,NA,61.11111111,77.77777778,44.44444444,-33.33333333,1.056764444,1.235843636,0.775354286,0.460489351,-0.344964444,-0.961904786,5.789506587,0.99766987,0.952777735,-3.537036472,0.866662893,Trevor Roberts School,M,1,12.30277778,Experimental,4.668904041,12.03
16,0,2,3.722166667,0,3,7.754,3.885428571,1,0.163261905,44.44444444,55.55555556,33.33333333,-22.22222222,1869.277778,2492.75,1370.5,1122.25,-587.4444444,-1.930571429,7.795333333,0.93654912,1.2555,-4.285,0.925582809,Trevor Roberts School,F,1,7.197222222,Experimental,-1.273905706,7.02
16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,7.455555556,Experimental,-1.273905706,7.05
16,2,0,3.99398,0,NA,0.53438,NA,NA,NA,72.22222222,88.88888889,55.55555556,-33.33333333,1.949304444,2.114548077,1.519671,0.594877077,0.420862222,-0.799969668,5.153942579,0.485166148,1.290469276,-6.554005234,0.880316998,Trevor Roberts School,F,1,NA,Experimental,-1.273905706,NA
17,0,2,1.312,0,3,6.353,1.908,1,0.596,44.44444444,44.44444444,44.44444444,0,2302.882353,2842.714286,1925,917.7142857,1016.888889,-0.454,4.540666667,0.962469259,0,5,1,Trevor Roberts School,M,1,10.43333333,Experimental,-2.425941022,10.05
17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,1,10.61388889,Experimental,-2.425941022,10.07
17,2,5,3.374865,1,NA,1.267755,NA,NA,NA,100,100,100,0,0.219345882,0.219345882,NA,NA,1.922515556,0.140526569,3.705259874,0.460202637,0,5,1,Trevor Roberts School,M,1,12.05833333,Experimental,-2.425941022,12
18,0,0,1.673833333,0,1,6.378,1.931428571,1,0.257595238,0,0,0,0,463.2941176,NA,463.2941176,NA,304.7777778,0,-5,1,0,5,1,Trevor Roberts School,F,1,8.533333333,Experimental,-4.623863172,8.06
18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,8.713888889,Experimental,-4.623863172,8.08
18,2,0,4.65495,0,NA,0.94731,NA,NA,NA,27.77777778,33.33333333,22.22222222,-11.11111111,2.177762222,3.686262,1.59757,2.088692,-0.043042222,-0.998928615,3.984444724,0.999509428,0.496458403,-0.008333524,0.999921466,Trevor Roberts School,F,1,10.15833333,Experimental,-4.623863172,10.01
19,0,1,4.692333333,0,2,8.284,3.190714286,1,-1.501619048,33.33333333,33.33333333,33.33333333,0,1584.941176,2124.6,1360.083333,764.5166667,458.6666667,-0.98657142900000006,4.988,0.997213572,0.5065,0.895,0.997854868,Trevor Roberts School,M,2,6.769444444,Control,-0.858355906,6.09
19,1,3,1.943166667,0,3,6.828,3.086428571,0,1.143261905,22.22222222,33.33333333,11.11111111,-22.22222222,1469.388889,2148.75,1275.285714,873.4642857,-663.6666667,0.52,-0.793333333,0.463988286,-0.329,0.175,0.99058296,Trevor Roberts School,M,2,6.997222222,Control,-0.858355906,6.11
19,2,2,6.18128,0,NA,1.3446,NA,NA,NA,33.33333333,33.33333333,33.33333333,0,1.443532941,1.678246667,1.315507273,0.362739394,0.841900556,-1.342251346,5.852260484,0.902093189,0.658625086,-0.074263414,0.965020403,Trevor Roberts School,M,2,8.316666667,Control,-0.858355906,8.03
20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,6.280555556,Experimental,-8.254373957,6.03
20,1,3,7.297333333,1,3,17.854,6.094571429,0,-1.202761905,100,100,100,0,1674.944444,1674.944444,NA,NA,334.5555556,0.774285714,-4.103333333,0.55486495,-0.3605,0.49,0.373885463,Trevor Roberts School,F,1,6.511111111,Experimental,-8.254373957,6.06
20,2,3,10.17855,0,NA,5.002625,NA,NA,NA,61.11111111,66.66666667,55.55555556,-11.11111111,3.081836765,3.3175805,2.74506,0.5725205,1.422883333,-1.462487345,5.262627524,0.865623239,0.489076021,-2.007550134,0.998896574,Trevor Roberts School,F,1,7.894444444,Experimental,-8.254373957,7.01
21,0,3,2.466,0,2,8.148,3.032,-1,0.566,22.22222222,22.22222222,22.22222222,0,1480,2176,1281.142857,894.8571429,565.5555556,-1.070285714,1.816,0.969242331,0.974,-2.71,0.956702736,Trevor Roberts School,F,2,9.669444444,Control,-4.573440018,9.08
21,1,2,2.648166667,0,2,5.582,2.251428571,0,-0.396738095,27.77777778,44.44444444,11.11111111,-33.33333333,991.6470588,1193.25,929.6153846,263.6346154,-110.1111111,0.795428571,-0.790666667,0.382614041,-0.3195,1.765,0.818122802,Trevor Roberts School,F,2,9.866666667,Control,-4.573440018,9.01
21,2,1,3.6404,0,NA,0.98808,NA,NA,NA,27.77777778,33.33333333,22.22222222,-11.11111111,2.340121667,3.052932,2.065963846,0.986968154,-0.10779,-1.733632192,5.571655092,0.993294788,0.779583333,-1.893684896,0.918164529,Trevor Roberts School,F,2,11.20833333,Control,-4.573440018,11.02
22,0,1,1.519666667,1,2,6.281,1.767285714,1,0.247619048,11.11111111,11.11111111,11.11111111,0,1422.5,3814.5,1123.5,2691,500.7777778,-0.578285714,5.470666667,0.962298668,0.3245,2.575,0.953428782,Trevor Roberts School,M,2,12.12777778,Control,-7.414721613,12.01
22,1,1,1.7425,1,2,9.408,2.565,1,0.8225,100,100,100,0,826.4705882,826.4705882,NA,NA,1159.666667,1.277714286,-1.552,0.876032314,0,5,1,Trevor Roberts School,M,2,12.325,Control,-7.414721613,12.03
22,2,3,3.512515,1,NA,1.701205,NA,NA,NA,100,100,100,0,1.187805588,1.187805588,NA,NA,0.028972778,-0.535802319,4.83161068,0.953077647,0.645961245,-0.83196044,0.889147577,Trevor Roberts School,M,2,13.66666667,Control,-7.414721613,13.08
24,0,1,2.035166667,0,3,7.013,1.893,2,-0.142166667,5.555555556,0,11.11111111,-88.88888889,1596.555556,3294,1496.705882,1797.294118,-56,-0.376,-0.084,0.855786925,0.6415,-0.47,0.955686638,Trevor Roberts School,F,2,9.855555556,Control,-12.15139255,9.1
24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,2,NA,Control,-12.15139255,NA
24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,2,NA,Control,-12.15139255,NA
25,0,0,3.662833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,1,8.925,Experimental,-6.464053606,8.11
25,1,1,1.826166667,1,3,6.851,2.337857143,2,0.511690476,0,0,0,0,1137.777778,NA,1137.777778,NA,-311.5555556,-2.255714286,9.62,0.691505675,0,-5,1,Trevor Roberts School,F,1,9.130555556,Experimental,-6.464053606,9.01
25,2,0,5.413,1,NA,4.57,NA,NA,NA,22.22222222,22.22222222,22.22222222,0,1.396555556,2.33975,1.127071429,1.212678571,0.171777778,-1.789930556,3.777777777,0.711895385,-0.009114583,4.991319444,0.6,Trevor Roberts School,F,1,10.45833333,Experimental,-6.464053606,10.05
26,0,2,2.9365,1,3,9.133,3.302,1,0.3655,88.88888889,100,77.77777778,-22.22222222,1249.111111,1200.3125,1639.5,-439.1875,1073.333333,-0.683428571,5.422,0.188428581,0.554,0.615,0.992340398,Trevor Roberts School,M,2,7.777777778,Control,-16.45539284,7.09
26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,2,NA,Control,-16.45539284,NA
26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,2,NA,Control,-16.45539284,NA
27,0,3,2.415333333,0,3,25.249,5.024428571,0,2.609095238,77.77777778,66.66666667,88.88888889,22.22222222,1760.529412,1869.461538,1406.5,462.9615385,871.4444444,-0.347714286,5.525333333,0.954335544,1.0055,-3.55,0.95325917,Trevor Roberts School,M,2,12.61388889,Control,-5.976103256,12.07
