id,timepoint,prob_stopsig
252,1,0.6111111
253,0,NA
253,1,NA
254,0,NA
254,1,NA
255,0,0.52000001
255,1,0.68421054
256,0,NA
256,1,NA
257,0,NA
257,1,NA
258,0,0.44444442
258,1,NA
259,0,NA
259,1,NA
260,0,0.47058821
260,1,0.68421054
261,0,0.59999999
261,1,0.64705881
262,0,NA
262,1,NA
263,0,0.6111111
263,1,NA
264,0,NA
264,1,NA
265,0,NA
265,1,NA
