P_ID,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
185.0,F,10.06111111,1.0,7.0,19.0,40.0,3.0,8.333333332999999,-2.011280021
186.0,F,8.833333332999999,2.0,4.0,8.0,10.0,1.0,10.0,-9.617289919
187.0,M,9.872222222000001,2.0,8.0,27.0,31.0,8.0,28.57142857,0.356145237
188.0,F,6.988888889,1.0,5.0,4.0,4.0,7.0,100.0,31.87082653
189.0,M,10.28888889,1.0,3.0,9.0,13.0,4.0,33.33333333,-47.83998707
190.0,M,10.06666667,2.0,6.0,9.0,9.0,11.0,100.0,-15.06741094
191.0,M,9.763888889,1.0,3.0,12.0,16.0,2.0,12.5,-21.62318581
192.0,M,8.761111111,1.0,,,,,,
193.0,M,10.48611111,2.0,1.0,3.0,3.0,0.0,0.0,6.348896894
194.0,F,10.37222222,2.0,5.0,11.0,11.0,3.0,27.27272727,4.146820547
195.0,M,10.37222222,2.0,6.0,16.0,16.0,6.0,37.5,-3.2609870610000002
196.0,M,8.608333333,2.0,,,,,,
197.0,F,11.25277778,1.0,,,,,,
198.0,M,11.56666667,2.0,,,,,,
199.0,F,9.533333333,2.0,,,,,,
200.0,M,7.180555556,1.0,,,,,,
201.0,M,9.069444444,1.0,8.0,30.0,32.0,3.0,9.375,-0.026824117
202.0,F,11.23611111,2.0,8.0,27.0,27.0,10.0,37.03703704,-1.09114196
203.0,F,7.711111111,2.0,,,,,,
204.0,F,11.15277778,1.0,8.0,32.0,33.0,8.0,24.24242424,-5.539820276
205.0,F,,1.0,,,,,,
206.0,M,,1.0,,,,,,
207.0,M,,1.0,,,,,,
208.0,M,7.844444444,1.0,8.0,34.0,34.0,2.0,5.882352941000001,-5.579989959
209.0,M,8.641666667,2.0,8.0,33.0,35.0,6.0,18.18181818,-2.3639157230000003
210.0,M,8.666666667000001,1.0,,,,,,
211.0,M,10.71111111,1.0,,,,,,
212.0,M,7.788888889,1.0,1.0,1.0,2.0,1.0,100.0,
213.0,M,11.875,1.0,8.0,25.0,31.0,3.0,10.34482759,-0.64807277
214.0,M,10.71388889,2.0,4.0,8.0,11.0,3.0,33.33333333,-14.04629431
215.0,M,10.71666667,2.0,,,,,,
216.0,F,8.733333333,2.0,,,,,,
217.0,M,8.686111111,1.0,4.0,4.0,5.0,8.0,100.0,-6.498787527
218.0,M,,2.0,,,,,,
219.0,M,,2.0,,,,,,
220.0,M,,2.0,,,,,,
221.0,F,9.008333333,1.0,7.0,7.0,9.0,4.0,44.44444444,-15.12445142
222.0,M,7.5138888889999995,1.0,5.0,22.0,22.0,16.0,72.72727273,-5.118284974
223.0,M,8.644444444,1.0,1.0,1.0,3.0,1.0,100.0,
224.0,M,,2.0,,,,,,
225.0,F,,1.0,,,,,,
226.0,M,9.583333332999999,1.0,8.0,20.0,22.0,7.0,35.0,-4.492030663
227.0,F,,1.0,,,,,,
228.0,M,11.38888889,1.0,7.0,17.0,25.0,1.0,5.555555556,-23.83099733
229.0,M,,1.0,,,,,,
230.0,M,,1.0,,,,,,
231.0,F,,2.0,,,,,,
232.0,M,7.7638888889999995,1.0,,,,,,
233.0,F,10.95555556,2.0,7.0,29.0,30.0,1.0,3.333333333,-5.1224552889999995
234.0,M,,2.0,,,,,,
235.0,M,,2.0,,,,,,
236.0,F,,,,,,,,
237.0,M,10.28333333,2.0,4.0,18.0,26.0,8.0,42.10526316,-9.38820646
238.0,M,10.28333333,2.0,4.0,21.0,23.0,10.0,45.45454545,-2.403695033
239.0,M,,,,,,,,
240.0,M,,,,,,,,
241.0,M,,,,,,,,
242.0,F,,,,,,,,
243.0,F,7.833333333,,,,,,,
244.0,M,,,,,,,,
245.0,F,,,,,,,,
246.0,M,11.56666667,1.0,8.0,30.0,31.0,5.0,16.12903226,2.031147095
