Participant,Group,Date,Weeks,Tot_session,LabelledSessions,Games,NumGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,premature_go,too_late_responses,stop_trials,correct_inhibits,false_alarms,prem_false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT0,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT,New_seq_session
1,1,14/06/2019,5,15,15,,5,439,37.81321185,77.22095672,339,246,273,21,0,4,0.014652015,2,0,166,93,70,21,0.076923077,1,0.439759036,0.560240964,0.439759036,5.882309042,-2.789574348,828.7589087,770.4647143,589.5216401,233.3584439,239.2372686,166.0333599,166.0333599,176.6133599,755.555,755.555,766.135,,,,0,828.7589087,832.9412195,657.2841667,274.61219,274.61219,258.1991573,694.8789686,291.5662123,0.33135353,0.33135353,0.309984848,1.057197182,0.378429027,15
1,1,14/06/2019,5,15,15,,1,260,33.46153846,76.53846154,199,157,173,13,0,0,0,0,0,87,42,45,7,0.075144509,1,0.517241379,0.482758621,0.517241379,5.687497678,-2.88698003,940.397293,799.7182222,621.3461538,123.2448805,319.0511391,319.7188462,319.7188462,319.7188462,941.065,941.065,941.065,,,,0,940.397293,940.397293,NaN,200.4503459,200.4503459,200.4503459,NaN,131.4088557,0.213154958,0.213154958,0.213154958,NaN,0.164318946,15
1,1,18/06/2019,6,16,17,,2,123,30.08130081,84.55284553,104,84,86,2,0,0,0,0,0,37,20,17,0,0.023255814,1,0.459459459,0.540540541,0.459459459,5.832524468,-2.814466635,848.0238095,692.6470588,437.398374,82.13181527,410.6254355,383.601626,383.601626,383.601626,821,821,821,,,,0,848.0238095,848.0238095,NaN,177.1614182,177.1614182,177.1614182,NaN,98.34565393,0.208910901,0.208910901,0.208910901,NaN,0.141985233,16
1,1,18/06/2019,6,16,17,,1,66,31.81818182,77.27272727,51,37,45,7,0,0,0,1,0,21,14,7,0,0.155555556,1,0.333333333,0.666666667,0.333333333,6.161456169,-2.650000785,776.4210526,517.1428571,195.4545455,108.7436197,580.9665072,474.5454545,474.5454545,474.5454545,670,670,670,,,,0,776.4210526,797,15,319.8291462,319.8291462,297.6446427,0,127.675929,0.411927452,0.411927452,0.373456264,0,0.246887156,16
1,1,21/06/2019,6,17,18,,4,313,40.57507987,74.12140575,232,162,186,20,0,2,0.010752688,0,0,127,70,56,14,0.107526882,1,0.448818898,0.551181102,0.448818898,5.859374832,-2.801041453,966.2882927,919.8790179,713.0990415,181.7057174,253.1892511,192.3309585,192.3309585,195.1559585,905.43,905.43,908.255,,,,0,966.2882927,968.0901235,820.34,268.8268965,268.8268965,269.935429,72.47844507,254.9592429,0.278205685,0.278205685,0.278832954,0.088351714,0.27716606,17
1,1,21/06/2019,6,17,18,,1,114,35.96491228,79.8245614,91,68,73,4,0,0,0,1,0,41,23,18,3,0.054794521,1,0.43902439,0.56097561,0.43902439,5.884172068,-2.788642835,709.884058,492.6866667,331.5789474,88.81300777,378.3051106,309.8210527,309.8210527,309.8210527,641.4000001,641.4000001,641.4000001,,,,0,709.884058,719.1238971,81.575,270.5532907,270.5532907,261.3672405,0,155.8233826,0.38112321,0.38112321,0.363452308,0,0.316272782,17
1,1,25/06/2019,7,18,19,,2,128,31.25,72.65625,93,73,88,4,0,5,0.056818182,0,0,40,20,14,2,0.045454545,1,0.5,0.5,0.5,5.730728869,-2.865364435,835.9487179,561.6428571,397.265625,90.56006702,438.6830929,346.734375,346.734375,447.734375,744,744,845,,,,0,835.9487179,826.2739726,977.2,213.4159951,213.4159951,201.5860211,344.463641,160.8862987,0.255297951,0.255297951,0.243969952,0.352500656,0.286456592,18
1,1,25/06/2019,7,18,19,,1,51,41.17647059,80.39215686,41,29,30,1,0,0,0,0,0,21,12,9,3,0.033333333,1,0.428571429,0.571428571,0.428571429,5.910741239,-2.77535825,1083.724138,963.1111111,807.8431373,78.97629329,275.8810007,220.1568627,220.1568627,220.1568627,1028,1028,1028,,,,0,1083.724138,1083.724138,NaN,135.8917365,135.8917365,135.8917365,NaN,142.607367,0.125393291,0.125393291,0.125393291,NaN,0.148069486,18
1,1,26/06/2019,7,19,20,,2,89,46.06741573,68.53932584,61,39,48,9,0,0,0,0,0,41,22,19,4,0.1875,1,0.463414634,0.536585366,0.463414634,5.822563702,-2.819447018,933.4882051,832.0934211,552.247191,77.93868232,381.2410141,363.497809,363.497809,363.497809,915.745,915.745,915.745,,,,0,933.4882051,933.4882051,NaN,210.2479617,210.2479617,210.2479617,NaN,270.8369143,0.2252283,0.2252283,0.2252283,NaN,0.32548859,19
1,1,26/06/2019,7,19,20,,1,68,30.88235294,79.41176471,54,44,47,3,0,0,0,0,0,21,10,11,2,0.063829787,1,0.523809524,0.476190476,0.523809524,5.671011769,-2.895222985,1083.140682,855.9709091,711.0294118,44.7593801,372.1112701,415.1755882,415.1755882,415.1755882,1126.205,1126.205,1126.205,,,,0,1083.140682,1083.140682,NaN,205.4658488,205.4658488,205.4658488,NaN,114.2390889,0.189694517,0.189694517,0.189694517,NaN,0.133461415,19
