id,timepoint,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
114,1,763.48212,312.07693,0.73057556,-0.4043974,5
114,2,797.80853,257,-0.7049908,-0.001395553,6
115,0,467.6875,302,-0.41136652,0.30232298,6
115,1,409.31747,310,0.85187489,-0.1823895,6
115,2,566.52081,165.76923,-0.37211457,-0.50750595,6
116,0,490.37704,282,0.89244735,0.60464495,4
116,1,602.55554,350,0.19280857,0.054621615,5
116,2,576,185,0.84469724,0.72565711,6
117,0,405.15625,237.76923,0.60055232,0.78775275,4
117,1,588.67645,259,-0.15538535,-0.4026207,5
117,2,534.08508,278,0.031458668,0.011238392,6
118,0,540.58142,249,0.17678562,-0.58331692,5
118,1,532.5965,236,-0.71656126,0.56848323,4
118,2,709.20831,320.84616,-0.91265476,0.52402228,7
119,0,478.42374,238.38461,0.29415512,-0.39217487,5
119,1,532.83868,123,-0.003622813,-0.096424401,5
119,2,508.7027,128,0.014355252,-0.31879693,5
120,0,481.43283,269,0.99855113,0.49120292,5
120,1,666.03387,181.07692,-0.27698249,0.34721029,5
120,2,748.29785,287,0.042141072,-0.91495138,6
121,0,553.79663,353,-0.43241689,0.29140109,5
121,1,655.97675,123,0.24633943,1.1518149,5
121,2,617.19568,147.26315,0.44974688,0.32365602,7
122,0,405.56897,308,-0.73769546,0.44917831,5
122,1,604.17389,258,-0.22900884,0.525446,6
122,2,642.26086,147.77777,0.98721349,0.31695512,5
123,0,737.38098,264,0.43132955,0.26147008,5
123,1,764.10345,168,0.042233467,-0.26506814,7
123,2,845.73914,222.47058,0.047727928,0.1597708,6
124,0,382.56,136,0.60055232,-0.003486872,6
124,1,438.85938,187.22223,0.58246946,-0.33051187,4
124,2,629.17645,215.30769,-0.82625425,0.52402228,6
125,0,622.9231,300,-0.090318359,-0.3101362,5
125,1,612.91302,219.57895,0.003386066,0.35520029,6
125,2,541,278.75,0.015514856,0.99341261,7
126,0,494.93549,194.84616,0.50706077,-0.12284786,5
126,1,659.3125,164.76471,-0.95368701,-0.85143077,5
126,2,636.0625,280.88889,-0.92989743,0.57667965,6
127,0,475.03391,160,0.2795296,0.11128208,6
127,1,409.35715,136,0.32546079,0.064022243,5
127,2,588.79999,339,0.44810763,-0.99998355,6
128,0,480.42374,312,0.074087717,-1.0113308,6
128,1,508.65518,296,-0.42982206,-0.14379087,4
128,2,667.84784,357.17648,-0.42252672,-0.51857042,6
129,0,695.5517,248,0.28474334,-0.027084351,5
129,1,817.16669,215,-0.046335023,0.94681448,6
129,2,442.5,205.29411,-0.58283824,-0.91454816,5
130,0,447.41934,226,-0.055555232,-0.11218037,4
130,1,682.26318,114,-0.73851943,-0.067423791,5
130,2,740.53192,217.11111,-0.93046206,0.53162807,6
131,0,497.65625,308.76923,0.59802407,0.16552255,7
131,1,470.42499,208,0.022763295,-0.49410754,6
131,2,658.16669,155.23529,0.89244735,-0.66742039,8
132,0,546.66669,177,0.60522938,0.5174852,7
132,1,417.26086,266,0.069098711,-0.41775325,6
132,2,474.31372,249.05882,0.5070715,-0.46189255,7
134,0,587.92065,234.53847,-0.86407864,1.0476505,5
134,1,634.85107,211.05882,-0.92907101,-0.65212369,7
134,2,728.48834,153.05263,0.033211693,-0.73914319,7
135,0,634.25,272,-0.46494663,0.003490754,4
135,1,786.92859,151,0.013958078,1.0043117,6
135,2,654.57501,335.44446,0.66294783,0.71860635,7
136,0,595.85077,350,-0.063923739,-0.037965398,6
136,1,566.65002,204,0.91962773,-0.74711394,6
136,2,808.71429,165.94118,0.40719703,-0.35748661,6
137,0,582.72882,245.69231,0.56061959,0.029001266,5
137,1,531.12769,280.55554,-0.58917689,-0.30093783,5
137,2,533.6579,266,0.57813489,-0.59263718,6
138,0,597.23529,199,0.72797573,0.99231732,4
138,1,559.96973,300.21054,-0.39087525,1.0881059,5
138,2,672.37781,205.22223,-0.91953027,0.81686342,6
139,0,570.29633,268,0.13998108,0.19693238,6
139,1,386.36923,324,-0.93859196,1.1022116,6
139,2,607.62,205.38461,0.60522938,-0.18841195,6
140,0,389.03845,335,0.29501757,-0.5696342,6
140,1,433.32001,198,0.84469724,-0.22134513,5
140,2,609.89856,196,0.48718163,-0.91454816,7
141,0,566.375,260,0.8531841,1.134486,5
141,1,817.16669,241.77777,-0.38356438,-1.236575,6
141,2,705.07501,165.94118,-0.35979941,0.90653563,7
142,0,534.52728,177.46153,-0.077772133,0.46389732,6
142,1,570.58142,281.29413,-0.92240053,0.25537422,7
142,2,639.08698,334.77777,0.016915703,-0.4998717,8
143,0,577.9231,223.15384,0.59696555,0.057078853,5
143,1,786.15912,175,0.73057556,0.36432049,5
143,2,564.82855,223,-0.36931714,0.054429129,7
144,0,609.89856,213,-0.43542218,0.064022243,7
144,1,609.84784,254.84616,-0.21473242,-0.67218453,6
144,2,438.85938,263.92307,-0.23257504,-0.91454816,6
145,0,637.32355,296,-0.067390218,-0.4026207,5
145,1,533.6579,123,-0.37611955,-0.20705526,6
145,2,654.57501,113,-0.074951552,0.2606473,7
146,0,425.41666,235,0.85187489,-0.14644153,5
146,1,558.93475,221.77777,0.58227384,-0.58810848,5
146,2,680.40002,196.11765,1.0358094,0.54084051,6
147,0,629.48279,292,-0.50190324,-0.74057066,4
147,1,717.28259,274.41177,0.51989621,0.86628938,5
147,2,654.43182,261.33334,0.47665903,0.68304127,5
148,0,507.45071,246.07692,-0.72415388,-0.4886122,6
148,1,608.2558,219.22223,0.39192516,-0.22218168,5
148,2,663.13336,155.23529,-0.90473056,-0.90513968,7
149,0,601.72583,220,0.30129826,0.46476659,6
149,1,679,182,0.015914842,0.052127644,7
149,2,744.42224,158.76471,0.41200048,0.97497004,8
150,0,397.40323,246,-0.32892811,-0.42123914,6
150,1,548.94873,200.21053,1.089919,0.12451392,6
150,2,488.25491,206,0.32546079,0.50889325,7
151,0,660.91669,244,-0.43730333,0.64894193,5
151,1,499.23438,187.22223,0.44810763,0.92178661,6
151,2,689.24194,274.76923,0.033211693,-0.27894884,7
152,0,680.40002,119,0.29723218,-0.56119049,7
152,1,786.15912,322.88889,0.4125776,-0.91763669,7
152,2,735,174.55556,1.0498799,-0.51208699,6
153,0,646.4386,243,-0.72647041,0.15187658,5
153,1,828.25,285,0.40719703,0.64989424,7
153,2,803.70587,300.5,-0.19833584,-0.080727659,7
154,0,740.10168,204,-0.42911381,-0.84731609,6
154,1,679.52271,278.10526,0.41255942,0.37160543,6
154,2,730.26086,170.11111,0.10926633,0.078017682,7
155,0,372.25,256,0.34324902,0.49591976,6
155,1,NA,NA,NA,NA,NA
155,2,NA,NA,NA,NA,NA
156,0,447.41934,310.76923,-0.22939122,0.17205656,5
156,1,482.31915,247.66667,-0.95983237,-0.60420799,5
156,2,593.56097,120.42105,0.022763295,-0.77637696,7
157,0,494.6087,262,0.5591042,0.89799702,5
157,1,473.32559,279.44446,0.40155545,-0.66742039,6
157,2,517.78052,142.88889,0.56313825,-0.64171809,6
158,0,752.17462,222,0.34263533,0.33510333,6
158,1,NA,NA,NA,NA,NA
158,2,NA,NA,NA,NA,NA
159,0,639.83606,215.30769,-0.82834888,0.53680605,4
159,1,560.41998,294.5,0.44974688,1.0528859,6
159,2,736.81396,322.88889,-0.41908556,-0.58331692,6
160,0,478.01428,299,0.75773346,-0.26534259,6
160,1,494.5,173.47058,0.022193793,-1.2823398,6
160,2,565.17645,353.88889,0.1199314,0.003307477,6
161,0,505.14706,263.92307,0.58246946,0.03433311,6
161,1,595.85077,331.11111,0.45979345,-0.52303064,6
161,2,717.26532,231.11765,0.031793505,0.018474851,6
162,0,526.08698,326.53845,0.30368799,0.081697255,4
162,1,679.94739,242,-0.001179381,0.44784284,6
162,2,528.68964,192.33333,-0.38904375,0.011238392,7
163,0,750.12726,199,-0.090461761,0.11619926,6
163,1,411.78082,173.47058,0.73102504,0.56848323,5
163,2,582.72882,240.76471,0.31810361,-0.21355499,7
164,0,595.85077,350,-0.063923739,-0.33960402,5
164,1,707.19147,176.52942,-8.79E-04,-0.27894884,5
164,2,672.97675,257.88235,0.035457209,-0.20705526,8
