id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
28,0,2.678994236,0.419161,8.61E-04,6.50E-04,0.346882,9.11E-04,7.07E-04,-1.009715766,0.23184918,0.12339344,0.248029705
29,0,2.864446929,0.417701,8.71E-04,6.55E-04,0.396215,9.26E-04,7.19E-04,2.357222215,0.15229405,0.366559118,0.146820534
30,0,2.638763683,0.432774,8.65E-04,6.41E-04,0.385477,8.62E-04,7.46E-04,-1.298594829,0.306053731,0.188135755,0.338233231
31,0,2.752870622,0.432092,9.00E-04,6.71E-04,0.357321,9.81E-04,7.85E-04,0.183085467,0.1943586,0.229918072,0.315119088
32,0,2.82450954,0.402932,8.88E-04,6.78E-04,0.427266,0.00100618,7.62E-04,0.251264383,0.097479381,0.108798919,0.248400571
33,0,3.030700056,0.403191,8.49E-04,6.46E-04,0.385714,9.10E-04,7.07E-04,2.550143344,0.393369178,0.187997902,0.225904345
34,0,2.937008246,0.40177,8.62E-04,6.90E-04,0.370925,9.03E-04,7.46E-04,3.395351093,0.196919199,0.269267588,0.200061332
36,0,3.002730657,0.390837,9.23E-04,7.16E-04,0.382093,8.62E-04,7.38E-04,0.220856924,0.267144701,0.205031996,0.288398359
38,0,3.08841893,0.467787,8.66E-04,6.17E-04,0.333914,9.03E-04,7.30E-04,1.233045334,0.311514075,0.199381045,0.347099618
39,0,2.773258303,0.392299,8.99E-04,6.97E-04,0.368089,9.24E-04,7.25E-04,1.656323435,0.385015105,0.407063026,0.28165885
40,0,2.869303962,0.406647,9.43E-04,6.48E-04,0.417557,9.23E-04,7.30E-04,1.233045334,0.456698693,0.190234615,0.358972949
41,0,2.994832598,0.413173,9.14E-04,6.92E-04,0.380891,0.00103174,8.09E-04,1.891253381,0.36001057,0.28840382,0.260691477
42,0,2.878886107,0.403731,8.65E-04,6.61E-04,0.354284,9.44E-04,7.54E-04,0.497025561,0.322699031,0.260733602,0.330921737
43,0,2.772035566,0.415574,9.10E-04,6.86E-04,0.405321,9.68E-04,7.36E-04,0.931411657,0.382458645,0.120502676,0.259858611
45,0,3.042743202,0.399464,8.82E-04,6.74E-04,0.352048,9.03E-04,7.46E-04,1.673762893,0.426102114,0.231029326,0.192943427
46,0,2.944509263,0.432707,9.03E-04,6.67E-04,0.339945,0.00101728,8.18E-04,-0.04848318,0.402271894,0.366559118,0.358972949
47,0,3.036106903,0.407993,8.52E-04,6.53E-04,0.366564,9.13E-04,7.21E-04,-1.009715766,0.253377138,0.313166364,0.303507681
48,0,2.873821995,0.378114,9.19E-04,7.20E-04,0.372258,9.31E-04,7.30E-04,1.656323435,0.352972373,0.223535407,0.401290218
49,0,2.814034244,0.390837,9.43E-04,6.90E-04,0.333914,9.23E-04,7.46E-04,-0.053332302,0.218045997,0.127858736,0.259858611
50,0,2.956512577,0.405283,8.73E-04,6.69E-04,0.385385,9.54E-04,7.45E-04,0.42064183,0.293847631,0.179168554,0.35071373
51,0,2.759609795,0.393359,8.79E-04,6.81E-04,0.421015,9.55E-04,7.20E-04,0.862191403,0.319612493,0.317350342,0.259235113
53,0,3.060691814,0.423826,8.42E-04,6.29E-04,0.384429,9.41E-04,7.27E-04,-0.363933441,0.406845566,0.223971435,0.341835679
54,0,2.921301795,0.406647,9.34E-04,7.09E-04,0.377433,9.67E-04,7.51E-04,0.335124315,0.292407012,0.218441154,0.449951958
55,0,2.780440497,0.448357,8.46E-04,6.17E-04,0.383716,9.12E-04,7.10E-04,0.087503702,0.316126646,0.282691521,0.241048361
56,0,3.107314282,0.386971,8.99E-04,7.00E-04,0.384756,9.76E-04,7.60E-04,0.141028326,0.218919979,0.180141263,0.336331325
57,0,2.924994922,0.408309,9.16E-04,7.01E-04,0.352048,9.57E-04,7.64E-04,0.251264383,0.19875897,0.289662272,0.315772278
58,0,2.766760758,0.414907,9.10E-04,6.48E-04,0.380809,9.23E-04,7.07E-04,-1.330768729,0.263804755,0.33988732,0.358789205
59,0,2.786472292,0.374111,9.34E-04,7.30E-04,0.358409,0.00103753,8.28E-04,1.125346498,0.229867423,0.138467673,0.160830065
60,0,2.886374267,0.397483,8.90E-04,6.82E-04,0.433659,9.31E-04,6.91E-04,1.224608974,0.363597203,0.181636723,0.219561386
61,0,2.680445063,0.390676,8.80E-04,6.82E-04,0.360714,9.35E-04,7.39E-04,-4.632134042,0.150060724,0.312660171,0.329682952
62,0,2.866453692,0.436943,8.44E-04,6.19E-04,0.356101,9.05E-04,7.20E-04,1.1543381,0.360558349,0.286568831,0.504818374
65,0,2.740507129,0.444072,8.41E-04,6.18E-04,0.3954,9.25E-04,7.11E-04,4.652900123,0.269853645,0.100653245,0.296608638
66,0,2.686566452,0.441288,8.45E-04,6.24E-04,0.374219,9.17E-04,7.18E-04,-4.088259186,0.272498074,0.361534191,0.449271026
67,0,2.979490449,0.402175,8.63E-04,6.59E-04,0.352391,9.44E-04,7.52E-04,2.730621567,0.356056941,0.209051659,0.33818775
68,0,2.578879692,0.411893,9.03E-04,6.82E-04,0.407644,0.00100473,7.68E-04,2.452192223,0.265531839,0.352740462,0.126951698
72,0,2.925043978,0.430474,8.50E-04,6.35E-04,0.399617,8.84E-04,6.84E-04,1.735451733,0.263265894,0.191178388,0.37759016
73,0,3.040484169,0.427294,8.54E-04,6.37E-04,0.39757,9.50E-04,6.62E-04,4.552241381,0.447834785,0.211188504,0.428244709
74,0,2.870709572,0.42788,8.52E-04,6.34E-04,0.37786,9.16E-04,7.17E-04,-2.045644518,0.504631598,0.235958788,0.241760378
75,0,2.697135499,0.376841,8.87E-04,6.94E-04,0.39766,9.03E-04,6.97E-04,1.111339446,0.193059362,0.350754117,0.209746372
78,0,2.801514705,0.39036,9.12E-04,7.04E-04,0.389553,9.59E-04,7.07E-04,1.03002576,0.263804755,0.309120961,0.287286114
79,0,2.834582627,0.432265,8.68E-04,6.47E-04,0.403589,8.62E-04,7.16E-04,-0.475512135,0.312750899,0.326438151,0.344642366
80,0,2.939664265,0.402381,8.99E-04,6.86E-04,0.433936,9.37E-04,6.94E-04,0.251264383,0.526046586,0.202915348,0.344211844
81,0,2.734355043,0.418206,8.89E-04,6.75E-04,0.37786,9.03E-04,7.07E-04,-2.274908902,0.227924053,0.421549291,0.358789205
83,0,2.865808765,0.423302,8.50E-04,6.32E-04,0.365039,9.11E-04,7.20E-04,0.195739268,0.18202983,0.349311605,0.167428043
85,0,2.908992661,0.353041,9.56E-04,6.48E-04,0.415082,9.23E-04,7.16E-04,-0.127379543,0.295411399,0.138366293,0.192943427
86,0,2.889331831,0.436143,8.58E-04,6.33E-04,0.365717,9.35E-04,7.41E-04,-2.836312128,0.150060724,0.138865265,0.27361758
87,0,2.791389416,0.419926,8.62E-04,6.49E-04,0.380235,9.33E-04,7.23E-04,NA,0.155216799,0.251631908,0.211206864
88,0,3.062460241,0.408394,8.71E-04,6.60E-04,0.384075,9.41E-04,7.32E-04,0.996993738,0.329222063,0.174234518,0.264021435
90,0,2.972181315,0.384212,8.92E-04,7.01E-04,0.389015,8.93E-04,6.87E-04,0.486002412,0.16637024,0.54160464,0.248806168
