id,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
161,F,10.275,1,8,29,35,16,47.05882353,-1.919079796
162,F,10.49722222,2,5,10,10,1,10,-4.328644712
163,M,9.572222222,2,5,12,12,2,16.66666667,-5.711546211
164,F,10.48888889,1,6,16,18,5,27.77777778,-6.782859673
165,F,7.483333333,2,8,27,36,15,55.55555556,5.77599964
166,M,10.74722222,1,7,27,35,11,33.33333333,-3.560196197
167,F,8.736111111,2,6,12,27,7,58.33333333,-15.20583152
168,M,9.002777778,1,1,1,2,1,50,
169,M,9.505555556,2,,,,,,
170,F,8.925,1,8,29,34,1,3.125,-10.08051894
171,M,8.041666667,1,5,7,8,9,100,-12.35764071
172,M,7.802777778,2,8,23,29,5,21.73913043,-16.14204738
173,F,10.65,2,,,,,,
174,F,8.925,1,8,29,34,1,3.125,-3.233066971
175,M,9.275,2,,,,,,
176,M,9.141666667,2,6,19,22,5,26.31578947,-3.183724767
177,M,7.425,1,3,5,5,2,40,-9.295216135
178,M,9.502777778,1,6,13,36,4,18.18181818,5.815364872
179,M,6.188888889,2,1,2,2,1,50,-122.2350362
180,M,6.063888889,2,8,27,41,7,25.92592593,-8.072374293
181,M,6.308333333,1,,,,,,
182,F,8.583333333,2,7,20,21,5,25,-6.502746867
183,F,10.29166667,2,7,13,13,6,46.15384615,-10.99424511
184,F,7.305555556,1,8,21,31,2,7.142857143,-52.07152931
185,F,10.06111111,1,7,19,40,3,8.333333333,-2.011280021
186,F,8.833333333,2,4,8,10,1,10,-9.617289919
187,M,9.872222222,2,8,27,31,8,28.57142857,0.356145237
188,F,6.988888889,1,5,4,4,7,100,31.87082653
189,M,10.28888889,1,3,9,13,4,33.33333333,-47.83998707
190,M,10.06666667,2,6,9,9,11,100,-15.06741094
191,M,9.763888889,1,3,12,16,2,12.5,-21.62318581
192,M,8.761111111,1,,,,,,
193,M,10.48611111,2,1,3,3,0,0,6.348896894
194,F,10.37222222,2,5,11,11,3,27.27272727,4.146820547
195,M,10.37222222,2,6,16,16,6,37.5,-3.260987061
196,M,8.608333333,2,,,,,,
197,F,11.25277778,1,,,,,,
198,M,11.56666667,2,,,,,,
199,F,9.533333333,2,,,,,,
200,M,7.180555556,1,,,,,,
201,M,9.069444444,1,8,30,32,3,9.375,-0.026824117
202,F,11.23611111,2,8,27,27,10,37.03703704,-1.09114196
203,F,7.711111111,2,,,,,,
204,F,11.15277778,1,8,32,33,8,24.24242424,-5.539820276
205,F,,1,,,,,,
206,M,,1,,,,,,
207,M,,1,,,,,,
208,M,7.844444444,1,8,34,34,2,5.882352941,-5.579989959
209,M,8.641666667,2,8,33,35,6,18.18181818,-2.363915723
210,M,8.666666667,1,,,,,,
211,M,10.71111111,1,,,,,,
212,M,7.788888889,1,1,1,2,1,100,
213,M,11.875,1,8,25,31,3,10.34482759,-0.64807277
214,M,10.71388889,2,4,8,11,3,33.33333333,-14.04629431
215,M,10.71666667,2,,,,,,
216,F,8.733333333,2,,,,,,
217,M,8.686111111,1,4,4,5,8,100,-6.498787527
218,M,,2,,,,,,
219,M,,2,,,,,,
220,M,,2,,,,,,
221,F,9.008333333,1,7,7,9,4,44.44444444,-15.12445142
222,M,7.513888889,1,5,22,22,16,72.72727273,-5.118284974
223,M,8.644444444,1,1,1,3,1,100,
224,M,,2,,,,,,
225,F,,1,,,,,,
226,M,9.583333333,1,8,20,22,7,35,-4.492030663
227,F,,1,,,,,,
228,M,11.38888889,1,7,17,25,1,5.555555556,-23.83099733
229,M,,1,,,,,,
230,M,,1,,,,,,
231,F,,2,,,,,,
232,M,7.763888889,1,,,,,,
233,F,10.95555556,2,7,29,30,1,3.333333333,-5.122455289
234,M,,2,,,,,,
235,M,,2,,,,,,
236,F,,,,,,,,
237,M,10.28333333,2,4,18,26,8,42.10526316,-9.38820646
238,M,10.28333333,2,4,21,23,10,45.45454545,-2.403695033
239,M,,,,,,,,
240,M,,,,,,,,
241,M,,,,,,,,
242,F,,,,,,,,
243,F,7.833333333,,,,,,,
244,M,,,,,,,,
245,F,,,,,,,,
246,M,11.56666667,1,8,30,31,5,16.12903226,2.031147095
247,M,11.56666667,1,8,29,32,4,12.90322581,0.864295856
248,M,,,,,,,,
249,F,,,,,,,,
250,M,9.027777778,1,8,27,29,5,17.24137931,-4.053227237
251,F,8.822222222,2,8,24,24,8,33.33333333,-15.90688023
252,F,10.11944444,2,2,3,3,2,66.66666667,-109.4527293
253,F,,,,,,,,
254,M,,,,,,,,
255,F,7.013888889,2,8,31,31,4,12.90322581,-11.16956384
256,F,6.988888889,1,,,,,,
257,M,,,,,,,,
258,F,9.277777778,2,,,,,,
259,M,7.175,2,,,,,,
260,F,11.24722222,2,6,17,22,2,11.76470588,6.2168477
261,F,8.175,2,8,29,30,5,17.24137931,14.13530697
262,M,9.025,2,,,,,,
263,M,11.25833333,2,,,,,,
264,M,,,,,,,,
265,F,9.969444444,1,,,,,,
,,,,4,7,8,4,50,17.6533895
