id,timepoint,group,Train_Coef,UG_Offer_Accept,tot_delay_perc,DG_UG_Diff,DG_Coins_Given,Age_Frac
14,0,1,-4.855376307,1,11.11111111,0,3,7.988888889
14,1,1,-4.855376307,1,100,0,3,8.241666667
14,2,1,-4.855376307,0,94.44444444,2,1,9.694444444
15,0,1,4.668904041,0,72.22222222,0,3,10.6
15,1,1,4.668904041,0,100,1,2,10.85277778
15,2,1,4.668904041,0,61.11111111,0,3,12.30277778
16,0,1,-1.273905706,0,44.44444444,1,2,7.197222222
16,1,1,-1.273905706,1,11.11111111,0,3,7.455555556
16,2,1,-1.273905706,0,72.22222222,NA,0,NA
17,0,1,-2.425941022,0,44.44444444,1,2,10.43333333
17,1,1,-2.425941022,0,61.11111111,2,1,10.61388889
17,2,1,-2.425941022,1,100,1,5,12.05833333
18,0,1,-4.623863172,0,0,1,0,8.533333333
18,1,1,-4.623863172,0,27.77777778,1,2,8.713888889
18,2,1,-4.623863172,0,27.77777778,2,0,10.15833333
19,0,2,-0.858355906,0,33.33333333,1,1,6.769444444
19,1,2,-0.858355906,0,22.22222222,0,3,6.997222222
19,2,2,-0.858355906,0,33.33333333,1,2,8.316666667
20,0,1,-8.254373957,1,0,1,1,6.280555556
20,1,1,-8.254373957,1,100,0,3,6.511111111
20,2,1,-8.254373957,0,61.11111111,-2,3,7.894444444
21,0,2,-4.573440018,0,22.22222222,-1,3,9.669444444
21,1,2,-4.573440018,0,27.77777778,0,2,9.866666667
21,2,2,-4.573440018,0,27.77777778,2,1,11.20833333
22,0,2,-7.414721613,1,11.11111111,1,1,12.12777778
22,1,2,-7.414721613,1,100,1,1,12.325
22,2,2,-7.414721613,1,100,0,3,13.66666667
24,0,2,-12.15139255,0,5.555555556,2,1,9.855555556
24,1,2,-12.15139255,NA,NA,NA,NA,NA
24,2,2,-12.15139255,NA,NA,NA,NA,NA
25,0,1,-6.464053606,0,66.66666667,3,0,8.925
25,1,1,-6.464053606,1,0,2,1,9.130555556
25,2,1,-6.464053606,1,22.22222222,1,0,10.45833333
26,0,2,-16.45539284,1,88.88888889,1,2,7.777777778
26,1,2,-16.45539284,NA,NA,NA,NA,NA
26,2,2,-16.45539284,NA,NA,NA,NA,NA
27,0,2,-5.976103256,0,77.77777778,0,3,12.61388889
27,1,2,-5.976103256,1,94.44444444,0,3,12.775
27,2,2,-5.976103256,1,100,0,3,14.26666667
28,0,2,3.505370977,0,100,1,2,8.216666667
28,1,2,3.505370977,NA,NA,NA,NA,NA
28,2,2,3.505370977,1,27.77777778,0,3,9.869444444
29,0,1,-1.551396059,0,27.77777778,0,3,8.416666667
29,1,1,-1.551396059,0,100,0,2,8.558333333
29,2,1,-1.551396059,1,72.22222222,2,1,10.05555556
30,0,1,-3.738674676,0,16.66666667,1,2,10.67777778
30,1,1,-3.738674676,0,44.44444444,0,3,10.975
30,2,1,-3.738674676,0,77.77777778,2,1,12.2
31,0,1,-8.089684289,1,22.22222222,-1,4,10.67777778
31,1,1,-8.089684289,1,33.33333333,0,2,10.975
31,2,1,-8.089684289,0,77.77777778,2,1,12.2
32,0,2,-2.644401409,0,0,3,0,6.372222222
32,1,2,-2.644401409,1,0,3,0,6.608333333
32,2,2,-2.644401409,1,100,0,3,7.891666667
33,0,2,-5.914525327,1,0,0,3,6.375
