id,gender,age,group,training_sessions,Total,training_slope,timepoint
88,F,9.452777778,2,18,14,-2.448162992,1
89,F,9.67,2,NA,NA,NA,1
90,F,9.472222222,2,25,15,-9.752868471,1
91,F,9.636111111,2,19,23,-3.885014048,1
92,F,11.08611111,2,12,17,-21.26124083,1
93,F,10.35,1,17,27,-5.270248551,1
94,F,8.563888889,1,15,8,-13.94614913,1
95,M,7.630555556,1,25,24,-0.628957947,1
96,M,8.097222222,1,7,20,-56.75940599,1
97,F,7.916666667,2,27,27,-7.286561836,1
98,M,10.45555556,2,29,14,-3.834313005,1
99,F,9.586111111,2,21,13,-10.45723756,1
100,F,6.51388888899999,2,22,21,-6.577515717,1
101,F,7.347222222,2,23,2,-6.823955378,1
102,F,6.963888889,2,22,19,-11.47549974,1
103,F,10.81111111,1,14,25,-16.83416205,1
104,F,9.319444444,2,23,8,-8.503327602,1
105,F,8.830555556,1,19,18,-7.190791275,1
106,F,8.961111111,1,20,26,-5.270658323,1
107,F,10.20555556,1,10,20,-12.04821259,1
108,M,8.702777778,1,12,13,-4.788239837,1
109,M,9.24444444399999,1,26,20,-4.929832352,1
110,F,8.186111111,2,17,26,-5.480181187,1
111,M,8.066666667,1,6,11,7.25912193299999,1
112,M,6.283333333,1,30,16,0.361893879,1
113,F,10.80277778,2,13,30,-7.31479121,1
114,F,9.091666667,1,19,24,-2.336584133,1
115,F,8.363888889,2,15,5,-17.9718925,1
116,F,7.15,1,5,11,9.158676286,1
117,M,7.486111111,2,5,12,-45.94536363,1
118,F,6.833333333,2,8,11,-86.7068465,1
119,F,9.155555556,2,18,17,-11.29817029,1
120,M,8.45833333299999,1,22,11,-1.487563275,1
121,F,7.60277777799999,2,16,18,3.455538381,1
122,M,7.10277777799999,1,15,15,-11.39519116,1
123,M,9.077777778,1,20,6,-1.213454333,1
124,M,9.172222222,2,8,21,-36.53449674,1
125,M,7.63333333299999,2,33,2,-0.186780378,1
126,M,10.45833333,2,34,23,0.780273236,1
127,M,7.469444444,2,14,2,-11.98021962,1
128,F,7.011111111,2,1,11,NA,1
129,F,6.025,1,27,24,-19.75510694,1
130,F,9.086111111,1,24,10,-5.355612471,1
131,F,10.33055556,1,11,20,4.935693726,1
132,M,9.213888889,2,31,28,-3.085416242,1
134,F,9.530555556,1,6,21,6.552250153,1
135,F,6.313888889,1,6,8,-11.42889302,1
136,F,8.494444444,1,2,24,16.47180286,1
137,F,6.175,2,7,21,-3.261984488,1
138,M,8.641666667,2,7,2,-12.07620567,1
139,M,8.563888889,1,8,10,-2.065789849,1
140,M,10.39166667,2,5,16,-106.2306831,1
141,M,10.36388889,1,8,21,-3.940067991,1
142,F,9.883333333,2,8,18,-6.604729177,1
143,F,7.916666667,2,6,22,-21.83920266,1
144,F,8.955555556,2,4,30,-70.68793354,1
145,M,9.938888889,1,7,10,-10.59573855,1
146,M,9.077777778,1,5,4,-17.01058627,1
147,F,8.4,1,6,26,-6.138620251,1
148,M,10.98611111,2,6,23,-6.62694949,1
149,F,8.4,1,7,26,-0.29815558,1
150,M,11.21666667,1,7,12,-6.557146636,1
151,M,7.994444444,2,8,9,-16.43013013,1
152,M,11.35,1,8,20,-32.18294384,1
153,F,7.908333333,1,6,21,-12.510136169999999,1
154,M,8.725,2,7,27,-4.730476311,1
155,M,9.558333333,1,NA,NA,NA,1
156,M,10.18888889,1,6,24,-19.35908263,1
157,M,8.594444444,2,3,9,-21.21236744,1
158,F,9.883333333,2,NA,NA,NA,1
159,M,11.09722222,1,1,6,-17.32376631,1
160,F,8.755555556,1,5,13,-7.454685758,1
161,F,10.275,1,8,7,-1.919079796,1
162,F,10.49722222,2,5,23,-4.328644712,1
163,M,9.572222222,2,5,23,-5.711546211,1
164,F,10.48888889,1,6,24,-6.782859673,1
165,F,7.483333333,2,8,22,5.77599964,1
