"","ID","Fluency_T0","Originality_T0","Title_T0","Elaboration_T0","Closure_T0","Total_T0","timepoint"
"124",124,NA,NA,NA,NA,NA,NA,0
"125",125,6,7,15,2,16,9,0
"126",126,4,7,17,3,10,29,0
"127",127,4,8,10,4,10,26,0
"128",128,NA,NA,NA,NA,NA,NA,0
"129",129,8,5,2,2,16,4,0
"130",130,4,9,2,2,8,21,0
"131",131,4,11,19,4,5,31,0
"132",132,10,5,16,2,4,17,0
"133",133,NA,NA,NA,NA,NA,NA,0
"134",134,11,10,15,4,9,29,0
"135",135,4,10,10,2,6,22,0
"136",136,4,10,14,2,9,27,0
"137",137,4,12,16,3,11,34,0
"138",138,11,8,2,2,6,17,0
"139",139,9,8,14,2,6,19,0
"140",140,4,11,3,2,18,17,0
"141",141,4,12,15,2,18,22,0
"142",142,4,12,3,2,9,26,0
"143",143,4,11,18,2,8,31,0
"144",144,4,11,3,2,8,24,0
"145",145,5,5,18,3,15,7,0
"146",146,10,6,10,2,3,13,0
"147",147,4,9,3,2,6,20,0
"148",148,9,9,3,2,6,17,0
"149",149,4,12,3,2,6,23,0
"150",150,4,8,18,3,10,31,0
"151",151,4,12,2,2,12,28,0
"152",152,4,4,2,2,7,24,0
"153",153,NA,NA,NA,NA,NA,NA,0
"154",154,4,9,19,2,12,34,0
"155",155,4,9,17,3,7,28,0
"156",156,4,8,10,3,9,24,0
"157",157,4,11,14,2,10,29,0
"158",158,4,7,17,3,9,28,0
"159",159,4,10,15,2,7,26,0
"160",160,4,11,10,3,3,21,0
"161",161,4,6,16,2,6,22,0
"162",162,4,8,2,2,3,15,0
"163",163,4,10,11,3,4,37,0
"164",164,4,9,3,2,5,19,0
"165",165,4,10,3,2,8,23,0
"166",166,10,8,3,2,4,15,0
"167",167,4,10,13,2,9,26,0
"168",168,4,7,2,2,8,19,0
"169",169,11,7,5,3,9,31,0
"170",170,7,5,2,2,19,6,0
"171",171,11,9,5,3,8,32,0
"172",172,4,8,15,2,11,28,0
"173",173,4,7,8,4,11,37,0
"174",174,10,10,16,3,8,27,0
"175",175,4,10,14,2,7,25,0
"176",176,4,9,10,2,6,21,0
"177",177,4,11,3,2,5,21,0
"178",178,10,9,18,3,8,28,0
"179",179,11,11,18,2,7,29,0
"180",180,4,9,3,2,18,15,0
"181",181,8,6,2,2,19,7,0
"182",182,4,6,2,4,10,22,0
"183",183,4,10,3,2,12,27,0
"184",184,4,11,15,2,4,24,0
"185",185,4,11,3,2,7,23,0
"186",186,4,10,2,2,8,22,0
"187",187,4,9,2,2,10,23,0
"188",188,4,10,18,3,11,34,0
"189",189,4,8,16,3,8,27,0
"190",190,4,11,15,2,7,27,0
"191",191,4,8,19,4,12,35,0
"192",192,11,10,2,2,6,19,0
"193",193,4,9,13,3,10,27,0
"194",194,4,10,2,3,7,22,0
"195",195,4,12,13,2,10,29,0
"196",196,4,9,13,2,9,25,0
"197",197,4,12,3,2,12,29,0
"198",198,NA,NA,NA,NA,NA,NA,0
"199",199,NA,NA,NA,NA,NA,NA,0
"200",200,4,11,2,2,9,24,0
"201",201,4,9,2,2,3,16,0
"202",202,NA,NA,NA,NA,NA,NA,0
"203",203,NA,NA,NA,NA,NA,NA,0
"204",204,NA,NA,NA,NA,NA,NA,0
"205",205,NA,NA,NA,NA,NA,NA,0
"206",206,NA,NA,NA,NA,NA,NA,0
"207",207,NA,NA,NA,NA,NA,NA,0
"208",208,NA,NA,NA,NA,NA,NA,0
"209",209,NA,NA,NA,NA,NA,NA,0
"210",210,NA,NA,NA,NA,NA,NA,0
"211",211,NA,NA,NA,NA,NA,NA,0
"212",212,NA,NA,NA,NA,NA,NA,0
"213",213,NA,NA,NA,NA,NA,NA,0
"214",214,NA,NA,NA,NA,NA,NA,0
"215",215,NA,NA,NA,NA,NA,NA,0
"216",216,NA,NA,NA,NA,NA,NA,0
"217",217,NA,NA,NA,NA,NA,NA,0
"218",218,NA,NA,NA,NA,NA,NA,0
"219",219,NA,NA,NA,NA,NA,NA,0
"220",220,NA,NA,NA,NA,NA,NA,0
"221",221,NA,NA,NA,NA,NA,NA,0
"222",222,NA,NA,NA,NA,NA,NA,0
"223",223,NA,NA,NA,NA,NA,NA,0
"224",224,NA,NA,NA,NA,NA,NA,0
"225",225,NA,NA,NA,NA,NA,NA,0
"226",226,NA,NA,NA,NA,NA,NA,0
"227",227,NA,NA,NA,NA,NA,NA,0
"228",228,NA,NA,NA,NA,NA,NA,0
"229",229,NA,NA,NA,NA,NA,NA,0
"230",230,NA,NA,NA,NA,NA,NA,0
"231",231,NA,NA,NA,NA,NA,NA,0
"232",232,NA,NA,NA,NA,NA,NA,0
"233",233,NA,NA,NA,NA,NA,NA,0
"234",234,NA,NA,NA,NA,NA,NA,0
"235",235,NA,NA,NA,NA,NA,NA,0
"236",236,NA,NA,NA,NA,NA,NA,0
"237",237,NA,NA,NA,NA,NA,NA,0
"238",238,NA,NA,NA,NA,NA,NA,0
"239",239,NA,NA,NA,NA,NA,NA,0
"240",240,NA,NA,NA,NA,NA,NA,0
"241",241,NA,NA,NA,NA,NA,NA,0
"242",242,NA,NA,NA,NA,NA,NA,0
"243",243,NA,NA,NA,NA,NA,NA,0
"244",244,NA,NA,NA,NA,NA,NA,0
"245",245,NA,NA,NA,NA,NA,NA,0
"246",246,NA,NA,NA,NA,NA,NA,0
"247",247,NA,NA,NA,NA,NA,NA,0
"248",248,NA,NA,NA,NA,NA,NA,0
"249",249,NA,NA,NA,NA,NA,NA,0
"250",250,NA,NA,NA,NA,NA,NA,0
"251",251,NA,NA,NA,NA,NA,NA,0
