p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
46,t0,8.8111115,Con,414.46774,5,22,-1.7752826,225,0.66185999,2.8406591,448.28748,0.95833331,0.41666666,4442.75,3606,213.74463,105.04999,-19.599976
46,t1,8.8111115,Con,423.22449,4,22,-1.7752826,76,0.36073217,-6.0167508,328.66669,0.75,0.059523813,4677.875,5023.5,388.15625,-35.899994,-8
47,t0,9.5583334,Exp,609.08618,6,27,-2.023231,215,-0.78592545,-0.44544297,174.39587,0.95833331,0.76190472,4746.7998,4427,181.69696,-92.099976,65.049988
47,t1,9.5583334,Exp,764.10345,7,27,-2.023231,119,-0.50531518,-41.467209,124.85712,0.95833331,0.64285713,4714.5,4708,83.039429,5.5,-34.75
48,t0,8.8861113,Con,639.4068,5,20,-6.6595201,176.92308,-0.096947238,6.2600079,555.09998,0.83333331,0.059523813,5147.4287,4968.5,61.770508,16.649963,-4.2000122
48,t1,8.8861113,Con,622.94202,5,20,-6.6595201,257,-0.21433955,-0.35548624,429.35675,0.91666669,0.54761904,4985.6001,4787.7144,262.85962,124.45001,-2.2000122
49,t0,7.3083334,Con,686.14038,4,6,-73.71727,344,0.63470095,3.7362785,684.13196,0.76190472,0.29761904,5147.3335,4587.75,431.83875,85.25,546.75006
49,t1,7.3083334,Con,414.46774,6,6,-73.71727,229,1.3228253,0.83499622,132.30524,0.95833331,0.75,4987,4915.6001,-22.665771,187.45007,41.600006
50,t0,6.6805553,Exp,603.67188,5,25,-8.8618689,319,0.58319724,-5.6391015,544.91174,0.80952382,0.38095236,5010.5,5013.2002,-4.3382568,117.34998,66
50,t1,6.6805553,Exp,559.0769,5,25,-8.8618689,243,-0.67128921,-2.2353947,213.83032,0.92261904,0.88690472,4410.0835,4986,484.41382,117.34998,25.899963
51,t0,9.2361107,Con,478.01428,5,5,-82.228012,236,-0.3784222,-0.47028926,295.98889,0.84523809,0.63095242,3990.6365,4185.75,203.95105,191.84998,86.849976
51,t1,9.2361107,Con,389.03845,6,5,-82.228012,219.57895,0.010053726,10.025965,237.33765,0.88690472,0.6785714,3107.7778,3848.3333,147.55676,164.70001,-2.1499939
