p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
34,1,7.3444443,1,816.19611,5,23,-5.5869241,270,-.36219355,-.20206097,304.06323,.91666669,.39285713,5109.625,5026.1665,-263.9032,196.45001,31.700012
34,2,7.3444443,1,726.51166,6,23,-5.5869241,116.64706,.67462027,2.4146597,89.619568,,,,,,,
35,0,6.3916669,1,685.24139,5,5,-49.277184,230.84616,-1.2706093,15.210261,-52.736084,.88690472,.26190478,5147.7144,3890,471.22412,318.29999,30.199951
35,1,6.3916669,1,,,5,-49.277184,,,,,,,,,,,
35,2,6.3916669,1,,,5,-49.277184,,,,,,,,,,,
36,0,6.6305556,2,588.23883,4,16,-11.854798,293.07693,-.32415247,1.4673076,213.83032,,.21428572,5114,5090.6665,113.57422,22.099976,90.100037
36,1,6.6305556,2,,,16,-11.854798,,,,,,,,,,,
36,2,6.6305556,2,,,16,-11.854798,,,,,,,,,,,
37,0,6.2805557,1,657.57141,,6,2.5237293,335.15384,-1.2695428,.52010232,,.91666669,.041666668,4996,,353.65527,-141.65002,33.200073
37,1,6.2805557,1,,,6,2.5237293,,,,,,,,,,,
37,2,6.2805557,1,,,6,2.5237293,,,,,,,,,,,
38,0,8.5027781,2,564.82855,4,16,-12.099612,254,-1.3561521,1.4758288,62.510132,.88095242,.4642857,4998.3335,4866.3335,82.677979,166.60004,33.299988
38,1,8.5027781,2,390.23438,4,16,-12.099612,294,-.1655561,-1.8836644,-121.42249,.92261904,.54761904,4374,4144.2856,25.284058,136,-2.4499817
38,2,8.5027781,2,566.52081,7,16,-12.099612,264.88889,-.06291458,1.3646142,66.927368,,,,,,,
39,0,10.544444,2,533.91669,5,4,-67.072289,367,.7138502,13.003057,175.71893,.95833331,.27380949,4410.6665,4784.6001,83.010132,242.09998,-35.200012
39,1,10.544444,2,433.35385,6,4,-67.072289,277,.89997321,-5.5140095,-137.5,.88690472,.6785714,4797.4443,5148,168.02222,57.900024,147.35004
39,2,10.544444,2,487.95651,5,4,-67.072289,211.11765,.8311159,1.4934441,172.41681,,,,,,,
40,0,9.6166668,1,544.59259,4,12,-7.5672612,254.84616,.9594115,3.0693488,409.71179,.88095242,.6785714,5147,4708,326.15515,35.199951,-31.850037
40,1,9.6166668,1,614.48438,5,12,-7.5672612,167.61539,.32453102,4.1351924,465.08142,.88690472,.59523809,4917.7144,4582.875,441.00806,465.20001,-7.7999878
40,2,9.6166668,1,576,6,12,-7.5672612,118.76471,-.098546594,.03402001,78.914185,,,,,,,
41,0,6.1916666,1,,,10,-12.636613,241,-.39437908,-.2337061,182.11108,.63095242,.083333336,4998.5,4998,149.07458,399.94995,233.30005
41,1,6.1916666,1,689.04919,4,10,-12.636613,264,.07134591,.74745286,,.92261904,.23809522,4986.25,4986.6001,293.92041,-192.5,50
41,2,6.1916666,1,563.93335,7,10,-12.636613,274,-.3515943,.024754323,228.58997,,,,,,,
