P_ID,I,S,M
54,-0.139927708,-0.014565575,0.000800859
55,0.326185834,-0.007650837,0.018168447
56,0.257487327,-0.060128654,0.040318039
57,-0.097479282,-0.048660017,0.019438016
58,-0.237330943,0.067295235,-0.039372876
59,-0.429091616,0.029933372,-0.036237615
60,0.033852698,0.014559297,-0.004402475
61,-0.064378657,0.075955549,-0.033221919
62,0.173073231,-0.056486726,0.026778775
65,-0.073398809,0.063729986,-0.031818935
66,0.127884956,0.030232622,-0.002613971
67,0.196145849,0.064014578,-0.000707997
68,-0.340396127,0.13535801,-0.072168463
69,-0.364769863,0.02865432,-0.026847406
70,-0.342837071,0.023350268,-0.021817125
71,-0.165910987,0.113785426,-0.042808758
72,0.107001918,0.007315429,0.002759583
73,-0.040088938,-0.018170819,0.002165963
74,-0.17819032,0.054390212,-0.033642813
75,0.450527471,-0.029346132,0.040506354
76,0.317295081,-0.052028989,0.040201635
77,-0.430631945,0.116983374,-0.062926222
78,-0.110970044,-0.000845142,-0.007899895
79,0.331814154,-0.017394234,0.023645768
80,0.307893736,-0.053353172,0.036992242
81,0.196394898,-0.017645025,0.020325482
82,-0.109133315,0.144611299,-0.050696821
83,-0.141698269,0.101428711,-0.046737085
84,-0.110036285,0.02581544,-0.024354156
85,-0.140117962,-0.007372779,-0.00415392
86,-0.156947156,-0.009753077,-0.00745667
87,-0.058399509,-0.10859497,0.039651833
88,0.329607551,-0.043743472,0.037407767
89,-0.053446973,-0.03781319,0.014169039
90,0.292426432,-0.077214621,0.039948302
91,-0.30699844,0.001063412,-0.019796208
92,0.599012614,0.004818116,0.029345622
93,0.214112227,-0.067859396,0.037125526
94,0.036070622,-0.016321252,0.006170824
95,-0.3145279,0.010541367,-0.026683016
96,0.111642416,-0.014182683,0.008235922
97,-0.09003738,-0.027247618,0.002337923
98,-0.194818531,0.006160262,-0.015864001
99,0.018101599,-0.001972043,0.004323479
100,-0.598084481,0.043978713,-0.059535954
101,-0.014199521,-0.050905437,0.026330813
102,-0.031359442,0.03989482,-0.017451584
