p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
66,8.1194448,t2,Exp,-12.120771,16,558.93475,226.55556,0.64012003,-0.70438427,6
67,10.138889,t0,Con,-12.508991,15,502.67188,212,0.50083399,-0.91495138,7
67,10.138889,t1,Con,-12.508991,15,487.32144,249.23077,0.73706222,1.2878773,7
67,10.138889,t2,Con,-12.508991,15,734.28571,290,-0.37671977,-0.19398913,7
68,6.5250001,t0,Con,-4.3802972,17,612.06818,241,0.57740557,-0.0034868717,4
68,6.5250001,t1,Con,-4.3802972,17,620.93219,265,0.0091449544,-1.0711592,4
68,6.5250001,t2,Con,-4.3802972,17,761.85712,240.3158,0.31658274,-0.78203231,6
69,6.852778,t0,Exp,-5.0431175,12,486.66666,366.61539,0.32449809,-1.3238525,5
69,6.852778,t1,Exp,-5.0431175,12,661.58698,279.44446,6.1974674e-4,0.81686342,4
69,6.852778,t2,Exp,-5.0431175,12,771.66669,243,-0.86989993,0.3623994,6
70,6.6555557,t0,Con,-15.521034,12,604.72308,347,-0.44469005,-1.236575,5
70,6.6555557,t1,Con,-15.521034,12,602.55554,353,0.94540727,-0.78203231,5
70,6.6555557,t2,Con,-15.521034,12,527.18365,279.17648,-0.0036228132,0.51108128,6
71,6.1527777,t0,Exp,0.75006956,29,458.05264,257,0.60055232,0.41009805,5
71,6.1527777,t1,Exp,0.75006956,29,653.35553,112.38461,0.99300951,-0.1674782,4
71,6.1527777,t2,Exp,0.75006956,29,628.53064,247.22223,0.028900752,-0.19398913,5
72,8.4333334,t0,Exp,-13.461528,8,475.03391,290,0.62706572,-0.011447884,5
72,8.4333334,t1,Exp,-13.461528,8,740.9787,278.10526,-0.95368701,-0.91763669,6
72,8.4333334,t2,Exp,-13.461528,8,665,236,-0.01116419,0.78775275,5
73,10.755555,t0,Con,-3.8913217,27,493.85916,255.53847,0.58493215,0.54084051,5
73,10.755555,t1,Con,-3.8913217,27,382.81946,268,0.29501757,0.012926102,6
73,10.755555,t2,Con,-3.8913217,27,544.10638,210.33333,-0.41827208,0.11657524,7
74,10.061111,t0,Con,-4.9554925,29,686.14038,215.52942,-0.058324344,-0.25906712,5
74,10.061111,t1,Con,-4.9554925,29,466.13113,200,0.40307456,0.99680084,5
74,10.061111,t2,Con,-4.9554925,29,521.53192,316.22223,0.044630945,0.79920566,6
