p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
54,6.7611113,0,1,-11.491902,22,386.36923,308,-.73195648,-.33847225,6
54,6.7611113,1,1,-11.491902,22,421.86667,306.23077,.3656798,-.097659066,6
54,6.7611113,2,1,-11.491902,22,707.34088,302.52631,.48395842,.40569681,6
55,7.686111,0,2,-5.5640521,21,619.01642,140.46153,.31996235,.85748929,4
55,7.686111,1,2,-5.5640521,21,422.67606,310,.0077685299,.084220134,6
55,7.686111,2,2,-5.5640521,21,539.33331,250.17647,-.38904375,.59867942,6
56,9.0527782,0,2,2.0144694,12,654.06348,250.69231,.4662466,.012718741,7
56,9.0527782,1,2,2.0144694,12,559.18866,107.75,-.020698555,-1.2815059,6
56,9.0527782,2,2,2.0144694,12,,,,,
57,8.9083338,0,2,1.1023194,12,454.95081,284.76923,-1.0761955,-.25552842,6
57,8.9083338,1,2,1.1023194,12,576.17908,174.69231,.47987944,.32420054,7
57,8.9083338,2,2,1.1023194,12,677.3913,283.66666,-.4165059,-.67993855,6
58,7.6527777,0,2,-11.854069,30,508.61819,254.30769,.20894533,-.31837368,5
58,7.6527777,1,2,-11.854069,30,517.73529,323.23077,-.0011793808,.44784284,5
58,7.6527777,2,2,-11.854069,30,597.27588,,.77166086,-.70491683,6
59,7.5805554,0,1,-16.192995,14,710.39655,336,-.027916834,,4
59,7.5805554,1,1,-16.192995,14,637.60345,221,-.51169449,,5
59,7.5805554,2,1,-16.192995,14,,,,,
60,6.7861109,0,1,-88.592064,10,670.22949,189,-.081925765,.26103586,4
60,6.7861109,1,1,-88.592064,10,,,,,
60,6.7861109,2,1,-88.592064,10,,,,,
61,9.6499996,0,1,2.781496,17,558.25,234,.50633693,-.013798505,4
61,9.6499996,1,1,2.781496,17,595.94116,166,-.28237534,.012838863,5
61,9.6499996,2,1,2.781496,17,736.81396,227,.28529829,-.72180831,7
62,9.8861113,0,1,-19.434219,9,461.20895,229,.3115761,-.76251578,6
62,9.8861113,1,1,-19.434219,9,,,,,
62,9.8861113,2,1,-19.434219,9,,,,,
65,10.083333,0,1,-3.3619266,14,490.80951,236,.78818744,,5
65,10.083333,1,1,-3.3619266,14,602.5517,225,-.024052383,.77558595,5
65,10.083333,2,1,-3.3619266,14,642.93878,198.5,.81077147,-.34575951,7
66,8.1194448,0,1,-12.120771,16,689.24194,203,.24593523,.33918172,6
66,8.1194448,1,1,-12.120771,16,705.4314,205.38461,.033756044,1.3253171,5
66,8.1194448,2,1,-12.120771,16,558.93475,226.55556,.64012003,-.70438427,6
67,10.138889,0,2,-12.508991,15,502.67188,212,.50083399,,7
67,10.138889,1,2,-12.508991,15,487.32144,249.23077,.73706222,1.2878773,7
67,10.138889,2,2,-12.508991,15,734.28571,290,-.37671977,-.19398913,7
68,6.5250001,0,2,-4.3802972,17,612.06818,241,.57740557,,4
68,6.5250001,1,2,-4.3802972,17,620.93219,265,,-1.0711592,4
68,6.5250001,2,2,-4.3802972,17,761.85712,240.3158,.31658274,-.78203231,6
69,6.852778,0,1,-5.0431175,12,486.66666,366.61539,.32449809,-1.3238525,
69,6.852778,1,1,-5.0431175,12,,,,,
69,6.852778,2,1,-5.0431175,12,,,,,
70,6.6555557,0,2,-15.521034,12,604.72308,347,-.44469005,,5
70,6.6555557,1,2,-15.521034,12,,,,,
70,6.6555557,2,2,-15.521034,12,,,,,
71,6.1527777,0,1,.75006956,29,458.05264,257,,.41009805,
71,6.1527777,1,1,.75006956,29,,112.38461,.99300951,-.1674782,4
71,6.1527777,2,1,.75006956,29,628.53064,247.22223,.028900752,,5
72,8.4333334,0,1,-13.461528,8,,,.62706572,-.011447884,5
72,8.4333334,1,1,-13.461528,8,,,,,
72,8.4333334,2,1,-13.461528,8,665,,-.01116419,.78775275,5
73,10.755555,0,2,-3.8913217,27,,255.53847,.58493215,.54084051,5
73,10.755555,1,2,-3.8913217,27,382.81946,268,,.012926102,6
73,10.755555,2,2,-3.8913217,27,544.10638,210.33333,-.41827208,.11657524,7
74,10.061111,0,2,-4.9554925,29,,,-.058324344,-.25906712,5
74,10.061111,1,2,-4.9554925,29,466.13113,200,.40307456,.99680084,5
74,10.061111,2,2,-4.9554925,29,521.53192,316.22223,.044630945,.79920566,6
75,8.9972219,0,2,-20.564966,10,569,154.07692,-.43130523,-.11944523,7
75,8.9972219,1,2,-20.564966,10,,,,,
75,8.9972219,2,2,-20.564966,10,,,,,
76,10.2,0,1,.41769537,25,807,,-.069402225,-.1129813,7
76,10.2,1,1,.41769537,25,,,,,
76,10.2,2,1,.41769537,25,,,,,
77,6.2416668,0,1,-6.687573,28,,320.84616,.2960518,.43821645,4
77,6.2416668,1,1,-6.687573,28,,,,,
77,6.2416668,2,1,-6.687573,28,,,,,
78,9.6416664,0,1,-7.7806954,9,452.71014,301,.59130347,-.58669102,4
78,9.6416664,1,1,-7.7806954,9,448.29166,182,-.91990674,,5
78,9.6416664,2,1,-7.7806954,9,534.08508,250.23529,.48718163,-.14966482,7
79,10.511111,0,2,-2.1909411,18,542.33331,163,-.060590871,.24925506,7
79,10.511111,1,2,-2.1909411,18,411.78082,163,.25124314,-.80301034,6
79,10.511111,2,2,-2.1909411,18,555.75555,98.526314,.061821826,1.2372696,7
80,10.777778,0,1,-12.581874,15,543.19049,209,.60764098,,6
80,10.777778,1,1,-12.581874,15,705.44263,203.15384,.41499481,-.5084728,6
80,10.777778,2,1,-12.581874,15,771.66669,145.29411,-.40895858,-.77925903,8
81,8.8999996,0,1,-18.335716,8,575.35596,228.69231,.70166075,-.31314379,5
81,8.8999996,1,1,-18.335716,8,569.38806,243,1.0225937,-.38008171,5
81,8.8999996,2,1,-18.335716,8,660.22223,,-.76278609,-.43961516,6
82,7.0749998,0,1,-12.80201,21,717.87036,229,.048861504,,
82,7.0749998,1,1,-12.80201,21,621.88135,207.69231,-.58264935,-.12412812,6
82,7.0749998,2,1,-12.80201,21,494.75,254.73685,,,
83,7.0749998,0,1,-15.668471,18,685.68292,174,-.47430116,.89458978,4
83,7.0749998,1,1,-15.668471,18,409.35715,,-.056257058,-.75453854,4
83,7.0749998,2,1,-15.668471,18,607.62,262.82352,.84332657,,6
84,10.647223,0,2,-61.063976,3,520.07245,256,.59005731,.82627386,5
84,10.647223,1,2,-61.063976,3,,,,,
84,10.647223,2,2,-61.063976,3,498.46939,262.94116,.080126882,-.052606761,5
85,9.8555555,0,2,-21.826239,14,427.2131,318,.31054726,.79534459,5
85,9.8555555,1,2,-21.826239,14,,254,.81444007,-.19113988,6
85,9.8555555,2,2,-21.826239,14,445.59573,260.47058,-.93859196,,
86,9.5527782,0,1,-21.532093,6,727.18518,270,-.33169371,-.53647733,6
86,9.5527782,1,1,-21.532093,6,594.16925,165.76923,-.38537291,-.97204232,5
86,9.5527782,2,1,-21.532093,6,,,,,
87,,0,1,68.760399,6,594.34784,351,-.63452399,-1.1286746,7
87,,1,1,68.760399,6,,,,,
87,,2,1,68.760399,6,,,,,
88,9.4527779,0,2,-2.448163,18,676.06665,223,-.11678173,-.38933253,6
88,9.4527779,1,2,-2.448163,18,417.10144,241,-.58520019,-.19674253,5
88,9.4527779,2,2,-2.448163,18,561.73334,262,.030262569,-.44257674,7
89,9.6700001,0,2,,,573.50702,332,-.077994488,.23143406,6
89,9.6700001,1,2,,,,,,,
89,9.6700001,2,2,,,487.72342,222,,,
90,9.4722223,0,2,-9.7528687,25,493.85916,212,.58227384,-.52240574,5
90,9.4722223,1,2,-9.7528687,25,,255,.87282968,-.18365455,7
90,9.4722223,2,2,-9.7528687,25,752.47729,132.21053,-.92512256,.1549731,7
91,9.6361113,0,2,-3.8850141,19,659.53333,283,-.079258449,-.4433766,5
91,9.6361113,1,2,-3.8850141,19,483.55884,218.69231,.16397434,.39276016,6
91,9.6361113,2,2,-3.8850141,19,658.16669,183,-.41154847,-.1823099,6
92,11.086111,0,2,-21.26124,12,570.55713,123.84615,.73797667,-.084035069,5
92,11.086111,1,2,-21.26124,12,608.47827,285,-.71016973,.30370516,6
92,11.086111,2,2,-21.26124,12,555.59186,218.44444,.52571911,-.46532327,5
93,10.35,0,1,-5.2702484,17,663.48438,282,.5876919,-.19143161,5
93,10.35,1,1,-5.2702484,17,592.52942,285,.72569174,-.11218037,7
93,10.35,2,1,-5.2702484,17,683.617,184.88235,.044469707,,7
94,8.5638885,0,1,-13.946149,15,704.75,255,.29286048,-.37052223,5
94,8.5638885,1,1,-13.946149,15,655.18182,189,.021036221,.087879837,5
94,8.5638885,2,1,-13.946149,15,655.48889,100.23529,-.44771871,.47403067,7
95,7.6305556,0,1,-.62895793,25,674.30359,273.07693,-.97264236,-1.0792966,4
95,7.6305556,1,1,-.62895793,25,668.57892,295.53845,.31974724,.81535524,4
95,7.6305556,2,1,-.62895793,25,624.51062,260.5,.050275877,-.92420268,6
96,8.0972223,0,1,-56.759407,7,587.03333,210,-.74325317,-.52692115,5
96,8.0972223,1,1,-56.759407,7,683.68335,234,-.29131445,,5
96,8.0972223,2,1,-56.759407,7,654.2381,197.25,-.43848526,,7
97,7.9166665,0,2,-7.286562,27,597.28125,252,-.44542325,-.47829735,4
97,7.9166665,1,2,-7.286562,27,576.5968,308,.2885915,-.66742039,6
97,7.9166665,2,2,-7.286562,27,457.66666,253.55556,.92985928,.12451392,5
98,10.455556,0,2,-3.8343129,29,524.41431,231,-.066950753,.040492609,6
98,10.455556,1,2,-3.8343129,29,569.88733,254,,,6
98,10.455556,2,2,-3.8343129,29,527.18365,237.66667,.025758089,-.69350654,5
99,9.5861111,0,2,-10.457237,21,493.28787,296,.72370988,.1619264,6
99,9.5861111,1,2,-10.457237,21,371.43332,216,.93840414,-.038641423,6
99,9.5861111,2,2,-10.457237,21,629.17645,196.11765,-.44133303,1.1141113,6
100,6.5138888,0,2,-6.5775156,22,791.27026,259.38461,-.42880705,.016954124,4
100,6.5138888,1,2,-6.5775156,22,,,-.33030874,-.20617919,4
100,6.5138888,2,2,-6.5775156,22,684.44446,151.77777,.60369974,,5
101,7.3472223,0,2,-6.8239555,23,500,358.30768,-.074951552,.26292372,7
101,7.3472223,1,2,-6.8239555,23,442.94287,252.61539,-.37211457,1.2331991,6
101,7.3472223,2,2,-6.8239555,23,529.45654,292,-.41266456,.20256503,7
102,6.9638891,0,2,-11.4755,22,736.06122,215,-.046335023,-.1853472,4
102,6.9638891,1,2,-11.4755,22,705.64911,353,-.38921249,,5
102,6.9638891,2,2,-11.4755,22,661.58698,192.21053,.4621312,,6
103,10.811111,0,1,-16.834162,14,605.16174,279.84616,-.055071555,-.17274617,7
103,10.811111,1,1,-16.834162,14,596.13849,274.76923,.73102504,.5285964,7
103,10.811111,2,1,-16.834162,14,666.77081,246.11765,.47890732,.7406919,7
104,9.3194447,0,2,-8.5033274,23,483.95386,269,-.30020946,.28696913,5
104,9.3194447,1,2,-8.5033274,23,489,302,1.0500861,-.62015831,5
104,9.3194447,2,2,-8.5033274,23,,,,,
105,8.8305559,0,1,-7.1907911,19,575.55884,238,-.08587984,.62931174,5
105,8.8305559,1,1,-7.1907911,19,447.25,276,,,6
105,8.8305559,2,1,-7.1907911,19,609.41302,182.3158,.49368951,,6
106,8.9611111,0,1,-5.2706585,20,457.85715,324,.13261735,-.29970905,7
106,8.9611111,1,1,-5.2706585,20,650.92535,221,.41108805,-.23340622,7
106,8.9611111,2,1,-5.2706585,20,669.67999,,.49997216,.47937655,7
107,10.205556,0,1,-12.048213,10,388.40579,275,.37917247,-1.1870584,7
107,10.205556,1,1,-12.048213,10,,,,,
107,10.205556,2,1,-12.048213,10,461.75,264.22223,-.79483795,-.71658134,7
108,8.7027779,0,1,-4.78824,12,758.625,201.84616,-.42089748,-.12299224,5
108,8.7027779,1,1,-4.78824,12,801.04547,290,.012829633,-.73067379,5
108,8.7027779,2,1,-4.78824,12,816.95239,214.22223,-.41908556,-.12530915,6
109,9.2444448,0,1,-4.9298325,26,772.61664,244.07692,.30547717,.68304127,5
109,9.2444448,1,1,-4.9298325,26,,256,.41917303,-.239658,6
109,9.2444448,2,1,-4.9298325,26,799.92859,267.26315,.4189547,-.44808134,7
110,8.1861115,0,2,-5.4801812,17,628.18311,171,.76533514,-.19977622,5
110,8.1861115,1,2,-5.4801812,17,588.67645,294,.73858976,.34730393,6
110,8.1861115,2,2,-5.4801812,17,653.90002,296.75,.051188506,-.271276,6
111,8.0666666,0,1,7.2591219,6,683.11938,229,.31115615,-.41773841,5
111,8.0666666,1,1,7.2591219,6,,,,,
111,8.0666666,2,1,7.2591219,6,807,300.5,.42939591,-.18978819,6
112,6.2833333,0,1,.36189389,30,681.01819,181,-.064841561,.10962112,5
112,6.2833333,1,1,.36189389,30,688.62793,,.27312675,,
112,6.2833333,2,1,.36189389,30,721.61365,229.66667,-.28935534,,6
113,10.802778,0,2,-7.3147912,13,542.73242,127,-.064126424,-.83823419,6
