P_ID,T,Flank_Switch_RT,Flank_Stay_RT,Flank_Switch_RT_corr,Flank_Stay_RT_corr,Flank_Accuracy_Stay,Flank_Accuracy_Switch
171,0,1114.4,1055.3,1141.7,1086.55,1,0.916666667
172,0,824.7,791.5,864.25,806.8,1,0.833333333
173,0,1208.1,753.7,1106.45,806.75,0.571428571,0.583333333
174,0,1356,1470.95,1342.85,1476.7,0.964285714,0.833333333
175,0,670.3,515.75,696.1,578.4,0.607142857,0.75
176,0,524.55,677.55,596.1,688.3,0.714285714,0.416666667
177,0,1735.35,1313.45,1550.7,1332.75,0.785714286,0.916666667
178,0,629.6,700.9,593.3,748.5,0.714285714,0.25
179,0,2201.65,1627.1,2158,1615.55,0.928571429,0.833333333
180,0,833.1,761.4,949.4,748.55,0.785714286,0.75
181,0,1144.15,1064.3,1237.15,1156,0.821428571,0.666666667
182,0,687.85,533.25,774.35,541.2,0.857142857,0.666666667
183,0,808.8,765.6,889.75,831.8,0.892857143,0.666666667
184,0,807.25,545.9,854.55,597.8,0.571428571,0.666666667
185,0,582.1,623.9,634.6,630.9,0.857142857,0.583333333
186,0,872.05,896.6,900.1,918.9,0.75,0.583333333
187,0,556.7,551.65,748.5,583.8,0.821428571,0.416666667
188,0,654,788.7,818.55,831.8,0.535714286,0.5
189,0,680.8,648.3,687.3,663.3,0.821428571,0.5
190,0,521.15,458.7,540.15,471.9,0.821428571,0.666666667
191,0,528.35,547.9,601.3,588,0.821428571,0.416666667
192,0,1859.5,1642.95,1738.9,1585.4,0.928571429,0.75
193,0,716.9,624.55,765.2,648.45,1,0.666666667
195,0,865.75,811.4,970.25,815.1,0.964285714,0.833333333
196,0,1202.75,1044.8,1209.35,1047.7,1,1
197,0,471,534.1,629.95,559.3,0.678571429,0.333333333
200,0,866.4,731.2,831.8,790.2,0.785714286,0.666666667
201,0,895,760.6,901.7,798.4,0.964285714,1
202,0,697.85,622.7,748.5,629.35,1,0.583333333
203,0,767,707.7,947.6,715.35,0.714285714,0.5
