"I","S","M","p_id"
-0.109133315113097,0.144611299328808,-0.0506968210638454,82
-0.141698269273327,0.101428710773432,-0.0467370847869876,83
-0.110036285056779,0.0258154400701301,-0.0243541559675089,84
-0.140117962116365,-0.00737277944940452,-0.00415392005521986,85
-0.156947155970062,-0.00975307735329291,-0.00745667020902221,86
-0.0583995087294959,-0.108594969755555,0.0396518328246259,87
0.329607550707022,-0.0437434715792223,0.0374077674951485,88
-0.0534469727100075,-0.03781318975392,0.0141690390734887,89
0.292426432463994,-0.0772146205949575,0.0399483020637702,90
-0.306998440124946,0.00106341202063157,-0.0197962082192888,91
0.599012613922646,0.00481811615481193,0.0293456220957246,92
0.214112227117618,-0.0678593958165506,0.0371255257829859,93
0.0360706217665084,-0.0163212523984165,0.00617082418042965,94
-0.314527900072678,0.0105413666067986,-0.0266830159182079,95
0.111642415518226,-0.0141826832938985,0.00823592227596309,96
-0.0900373799795862,-0.02724761811914,0.00233792256770691,97
-0.19481853080758,0.00616026168808989,-0.0158640013666917,98
0.0181015994749525,-0.00197204305303025,0.00432347904890184,99
-0.598084481055426,0.0439787126148924,-0.0595359538109438,100
-0.0141995211726753,-0.0509054372064666,0.0263308131176083,101
-0.0313594422937359,0.0398948197252419,-0.0174515843254543,102
0.087372335640403,-0.0473205175992572,0.0254515811038741,103
-0.148600687880948,0.0473157550017784,-0.0202280643660742,104
0.000843164790588918,0.106891365657153,-0.0267539583714157,105
-0.122354745579353,-0.0130049223647942,0.0023416718811876,106
0.00988471381281261,-0.0923662507474586,0.032267705502953,107
0.268616145858262,-0.0450180040673678,0.0317893964701786,108
0.203034662116476,-0.00374002638298112,0.0173788353419972,109
0.305142551948316,-0.0294526836166755,0.0194045571321806,110
0.0390678786080624,0.0319880080999056,-0.00719201427382768,111
0.0968300841624805,-0.0200003541288879,0.0108291062206865,112
0.343118340437316,-0.0617104324627772,0.0332461911752129,113
0.0744401886586124,0.0652348137690578,-0.0177148918635361,114
-0.297589899863746,0.0632915852343929,-0.0340578813755477,115
-0.109885922902067,0.0652163814446767,-0.0215632864264915,116
-0.104900910569133,0.0655851905238399,-0.0307803892378029,117
-0.0871303200920889,0.0285575066693111,-0.0162576182689576,118
0.0612318606869528,0.0123785558132639,-0.00477701901611266,119
0.0472869000432481,-0.0571355056828238,0.0222965278916654,120
-0.236289564197578,-0.0433957791799809,0.0043823228097546,121
-0.389982533016056,0.0942028207254308,-0.0539990234163632,122
0.208887086020224,-0.0398897959757264,0.0302330619416958,123
0.557914502689446,0.0185249545228602,0.0311493042299766,124
0.0627534992982269,-0.0502214665288366,0.0260541891909353,125
0.354139049794005,-0.00317065129397836,0.024870371373795,126
0.286524902319648,0.020829965184557,0.0100154103747476,127
-0.350319088525385,0.075283687372693,-0.0442505394525063,128
-0.16091826744663,0.0946951334766992,-0.0398563894352643,129
-0.121959144119085,0.0980698800138931,-0.0357554386432488,130
0.0340687559535616,-0.0651078226006058,0.0276791996682759,131
0.520729752493693,-0.0223914942519342,0.0430826761818752,132
0.110938004261264,-0.00597318634635805,0.0130780515574033,134
-0.522856608247957,0.0814908590688554,-0.061792809579958,135
-0.164330151026314,-0.0319055567096858,0.00795870356171658,136
-0.107702009759309,0.0929874039374544,-0.039236585055645,137
0.157774757525773,0.11479254161488,-0.0247264301983497,138
-0.066462832708613,-0.00630959452969037,0.000523314224631971,139
-0.245290420767563,0.0163629365719733,-0.0165991570529941,140
0.0657089548851728,0.0189095224473392,0.00274983002242883,141
0.154885496596436,0.0175237145017988,-0.000974608632287708,142
0.192855600090105,0.0130176898988399,0.00720827655272504,143
-0.0125798137023148,0.0136611801049646,-0.00625927815763158,144
0.077962680775172,-0.0603148426646159,0.0298603828541466,145
-0.110628777197982,0.0174247208832939,-0.0188425794803736,146
-0.354612816631857,0.0499804826901944,-0.0359579111489748,147
