P_ID,T,AX_Num_Trials,BX_Num_Trials,AY_Num_Trials,BY_Num_Trials,AX_Avg_RT,BX_Avg_RT,AY_Avg_RT,BY_Avg_RT,AX_Correct_Avg_RT,AX_Incorrect_Avg_RT,BX_Correct_Avg_RT,BX_Incorrect_Avg_RT,AY_Correct_Avg_RT,AY_Incorrect_Avg_RT,BY_Correct_Avg_RT,BY_Incorrect_Avg_RT,AX_Error,BX_Error,AY_Error,BY_Error
121,0,24,12,12,12,729.9909091,686,731.4,532.1,718.065,1552.033333,666.95,876.5,731.4,nan,532.1,nan,0.125,0.083333333,0,0
122,0,24,12,12,12,899.0695652,1047.090909,874.2,786.2181818,899.0695652,nan,1078.422222,906.1,874.2,nan,786.2181818,nan,0,0.166666667,0,0
123,0,24,12,12,12,414.8181818,195.74,550.1090909,307.3818182,414.8181818,nan,195.74,nan,555.09,500.3,307.3818182,nan,0,0,0.083333333,0
124,0,24,12,12,12,353.7391304,264.6545455,528.225,239.0909091,360.1272727,213.2,241.92,492,631.3625,321.95,239.0909091,nan,0.041666667,0.083333333,0.333333333,0
125,0,24,12,12,12,1089.6,763.1818182,939.0272727,813.3181818,1058.322727,1777.7,732.29,1072.1,944.27,886.6,747.4555556,1109.7,0.041666667,0.083333333,0.083333333,0.166666667
126,0,24,12,12,12,558.1173913,578.0090909,591.5909091,582.9,560.7136364,501,552.48,833.3,591.5909091,nan,582.9,nan,0.041666667,0.083333333,0,0
127,0,24,12,12,12,619.3434783,267.9545455,367.7909091,383.7916667,359.6214286,1023.355556,262.66,548.95,381.8571429,343.175,383.7916667,nan,0.375,0.166666667,0.333333333,0
128,0,24,12,12,12,425.0608696,470.7818182,535.7333333,587.6363636,415.4095238,526.4,398.3571429,751.725,698.0833333,369.86,546.65,997.5,0.083333333,0.333333333,0.416666667,0.083333333
129,0,21,11,11,11,1211.619048,1243.93,1121.390909,1347.263636,1006.48,992.46,1268.911111,3407.9,1164.766667,809.925,1285.1,1627,0.238095238,0.181818182,0.363636364,0.181818182
130,0,24,12,12,12,699.7043478,657.9727273,665.3636364,560.4272727,733.9285714,943.05,630.7444444,780.5,728.17,536.95,560.4272727,nan,0.083333333,0.166666667,0.166666667,0
131,0,24,12,12,12,375.6409091,359.1727273,489.5333333,366.9636364,380.1952381,280,359.1727273,nan,536.15,256.45,366.9636364,nan,0.041666667,0,0.166666667,0
132,0,24,12,12,12,449.0791667,309.5545455,605.0416667,336.3333333,448.2136364,458.6,309.5545455,nan,670.25,279,336.3333333,nan,0.083333333,0,0.166666667,0
134,0,24,12,12,12,578.3818182,748.88,642.2416667,597.7545455,562.1842105,680.9666667,1508.6,797.7666667,642.2416667,nan,597.7545455,nan,0.125,0.25,0,0
135,0,24,12,12,12,1988.254167,1075.172727,1878.527273,1439.033333,1920.758824,2152.171429,1075.172727,3501,1878.527273,nan,1352.709091,2388.6,0.291666667,0.083333333,0,0.083333333
136,0,24,12,12,12,497.1347826,512.5,647.2545455,483.1636364,497.1347826,nan,512.5,nan,647.2545455,nan,483.1636364,nan,0,0,0,0
137,0,24,12,12,12,1140.83913,729.5272727,1186.483333,804.9818182,1063.377273,2845,705.98,965,1230.244444,1055.2,804.9818182,nan,0.041666667,0.083333333,0.25,0
138,0,24,12,12,12,436.2652174,296.3,428.1181818,325.5818182,449.88,345.5,278.82,471.1,543.9571429,366.68,331.15,269.9,0.125,0.083333333,0.416666667,0.083333333
139,0,24,12,12,12,1427.556522,866.3,1118.216667,1069.925,1349,2252.4,837.1,2107.15,1121.877778,1107.233333,1069.925,nan,0.083333333,0.166666667,0.25,0
140,0,23,12,12,12,847.2909091,1733.818182,1833.875,1102.545455,1049.346154,555.4333333,1712.8625,1789.7,2004.983333,1662.766667,1192.777778,696.5,0.391304348,0.25,0.5,0.166666667
141,0,24,12,12,12,547.7826087,314.2818182,585.4090909,354.2454545,524.1947368,588.1333333,314.2818182,nan,575.6571429,439.775,326.57,631,0.125,0,0.333333333,0.083333333
142,0,24,12,12,12,599.2,772.4,616.0272727,486.1272727,599.2,nan,848.06,394.1,643.44,814.3,486.1272727,nan,0,0.166666667,0.166666667,0
143,0,24,12,12,12,703.6083333,715.7,1144.233333,586.2,703.6083333,nan,621.29,2004.3,1160.357143,813.875,586.2,nan,0,0.083333333,0.333333333,0
144,0,24,12,12,12,591.9863636,765.5090909,780.8166667,689.45,576.91,955.2333333,739.51,1025.5,780.8166667,nan,689.45,nan,0.125,0.083333333,0,0
145,0,24,12,12,12,679.2565217,644,920.9545455,251.7,679.2565217,nan,644,nan,920.9545455,nan,251.7,nan,0,0,0,0
146,0,24,12,12,12,292.4521739,283.43,364.3545455,336.3666667,280.1904762,289.0666667,283.43,998,1261.2,364.3545455,324,472.4,0.125,0.083333333,0.916666667,0.083333333
147,0,23,12,12,12,732.0227273,549.0727273,836.6083333,649.8,710.7642857,876.7285714,556.15,540.58,862.5,707.15,622.61,921.7,0.304347826,0.416666667,0.166666667,0.083333333
148,0,24,12,12,12,604.5409091,634.1916667,689.5818182,493.2636364,608.825,561.7,601.9,795.65,689.5818182,nan,493.2636364,nan,0.083333333,0.166666667,0,0
149,0,24,12,12,12,678.9590909,683.325,751.1363636,613.5454545,687.9111111,638.675,657.7,965.2,763.69,1000.2,595.2888889,695.7,0.166666667,0.083333333,0.166666667,0.166666667
150,0,24,12,12,12,437.1272727,358.5181818,673.2083333,516.9666667,432.8,451.84,274.0375,1114.025,721.3,432.75,516.9666667,nan,0.208333333,0.333333333,0.166666667,0
151,0,24,12,12,12,764.9681818,1032.975,1052.754545,572.8363636,792.5210526,590.4666667,1058.563636,751.5,1052.754545,nan,572.8363636,nan,0.125,0.083333333,0,0
152,0,24,12,12,12,948.3318182,1210.972727,1431.445455,1036.254545,920.247619,1538.1,1210.972727,nan,1524.02,505.7,1036.254545,nan,0.041666667,0,0.083333333,0
